sourceId;lat;lon;elev;value;prid;dqc
METSN27470:0;59.1845;10.2553;88;4.6;1;0
METSN31620:0;59.8397;8.1785;977;-0.5;1;0
METSN18210:0;59.923;10.804;100;4.7;1;0
METSN17280:0;59.4352;10.578;14;4.8;1;0
METSN15270:0;61.6775;8.369;1894;-6;1;0
METSN41090:0;58.0247;7.4517;10;6.5;1;0
METSN31660:0;60.018;7.913;954;0;1;0
METSN27315:0;59.3808;10.2397;39;3.9;1;0
METSN37150:0;59.0523;8.6537;570;1.4;1;0
METSN98648:0;70.367;29.7663;407;-11.6;1;0
METSN46432:0;59.8357;6.7108;1370;-2.8;1;0
METSN90760:0;70.10426;20.11451;57;-1.9;1;0
METSN44300:0;58.7605;5.6508;87;6.5;1;0
METSN12320:0;60.818;11.0697;221;2.8;1;0
METSN56960:0;61.4202;6.3758;311;5.8;1;0
METSN62270:0;62.7443;7.2617;3;6.6;1;0
METSN84630:0;68.421;17.4802;1000;-5.6;1;0
METSN62980:0;62.93;7.925;990;1.3;1;0
METSN50500:0;60.2892;5.2265;48;6.6;1;0
METSN54110:0;61.1033;7.5025;2;8.9;1;0
METSN61340:0;62.5643;7.672;4;8.2;1;0
METSN39040:0;58.2;8.0767;12;6.5;1;0
METSN26990:0;59.6193;10.215;60;3.5;1;0
METSN3720:0;59.5873;11.0962;87;3.8;1;0
METSN5660:0;60.2537;12.0913;170;3.3;1;0
METSN71000:0;64.0217;11.4493;6;4.9;1;0
METSN51010:0;60.5205;5.7243;10;6.1;1;0
METSN41770:0;57.9815;7.048;16;7;1;0
METSN79220:0;66.2348;13.904;37;1.8;1;0
METSN45770:0;59.23;6.1498;43;7;1;0
METSN69020:0;63.4268;10.515;27;6.7;1;0
METSN60650:0;62.288;7.2173;34;9.7;1;0
METSN9310:0;62.2207;9.5423;1012;-0.8;1;0
METSN31520:0;59.8358;8.315;949;0;1;0
METSN93900:0;68.7553;23.5387;382;-11.8;1;0
METSN59680:0;62.18041;6.07806;74;7.8;1;0
METSN91180:0;69.8915;20.1387;45;-3.1;1;0
METSN27160:0;59.4198;10.4647;95;4.3;1;0
METSN27780:0;59.0467;10.125;19;5.6;1;0
METSN87120:0;69.2413;16.003;436;-4.1;1;0
METSN86600:0;68.58;15.0293;3;1.4;1;0
METSN67280:0;62.9535;10.1788;299;4.1;1;0
METSN84880:0;68.3995;17.966;365;-3.6;1;0
METSN90400:0;69.6538;18.9095;20;-2.5;1;0
METSN8140:0;61.4255;11.0803;257;1.6;1;0
METSN92750:0;70.4865;22.1457;6;-3.3;1;0
METSN47260:0;59.3445;5.2115;24;6.8;1;0
METSN19825:0;59.5513;10.5813;9;5;1;0
METSN17150:0;59.3742;10.798;40;4.7;1;0
METSN91729:0;70.075;20.431;850;-11.6;1;0
METSN39150:0;58.1502;8.052;12;7.2;1;0
METSN62295:0;62.756;7.2088;258;5.4;1;0
METSN52310:0;60.8562;5.9733;125;2.9;1;0
METSN35860:0;58.6361;9.1479;4;6.1;1;0
METSN60850:0;62.4317;6.4325;1;4.8;1;0
METSN6020:0;60.6142;12.0125;185;3.3;1;0
METSN3370:0;59.3193;11.0422;45;4.6;1;0
METSN58100:0;61.8293;6.1043;60;7.6;1;0
METSN60640:0;62.297;7.2525;2;8.5;1;0
METSN64700:0;62.722;8.7753;405;6.7;1;0
METSN89940:0;68.7817;19.7017;204;-8.8;1;0
METSN31250:0;59.9958;8.3755;1093;-0.9;1;0
METSN5350:0;60.3883;11.558;147;3.2;1;0
METSN33300:0;59.7675;7.8173;1340;-2.7;1;0
METSN59695:0;62.16;6.2877;690;4.1;1;0
METSN60890:0;62.4654;6.4013;33;6.9;1;0
METSN26500:0;59.9202;9.9728;64;1.4;1;0
METSN82410:0;67.4048;13.8958;24;1.5;1;0
METSN33890:0;59.7662;7.3653;821;0.1;1;0
METSN8780:0;62.0103;10.0003;780;0.3;1;0
METSN31500:0;59.8247;8.3477;875;0.8;1;0
METSN98640:0;70.2467;30.368;72;-7.8;1;0
METSN98974:0;70.227;28.9563;150;-10;1;0
METSN26810:0;59.7688;9.9155;7;2.7;1;0
METSN37230:0;59.0257;8.5187;252;4;1;0
METSN81930:0;67.0129;15.973;565;-7.7;1;0
