elev;lat;lon;value;prid;dqc;sct;rep
340;62.00306;6.65083;12.4;1;0;0.02;0.5
6;62.675;8.55889;7;1;0;0.2;1.02095
4;56.55;21.02;NA;1;1;NA;NA
57;68.96667;33.04972;NA;1;1;NA;NA
26;67.15;32.35;NA;1;1;NA;NA
17;61.71667;30.71667;NA;1;1;NA;NA
3;59.96667;30.3;NA;1;1;NA;NA
57;68.96667;33.04972;NA;1;1;NA;NA
26;67.15;32.35;NA;1;1;NA;NA
7;64.98306;34.81639;NA;1;1;NA;NA
180;63.82;30.82;NA;1;1;NA;NA
17;61.71667;30.71667;NA;1;1;NA;NA
110;61.81667;34.26667;NA;1;1;NA;NA
3;59.96667;30.3;NA;1;1;NA;NA
43;57.81667;28.33306;NA;1;1;NA;NA
7;56.48306;21.01667;NA;1;1;NA;NA
21;54.71667;20.55;NA;1;1;NA;NA
314;66.8875;18.01778;2.7;1;0;0.05;0.76135
180;63.82;30.82;NA;1;1;NA;NA
7;56.48306;21.01667;NA;1;1;NA;NA
18;56.76667;8.31667;NA;1;1;NA;NA
25;56.28306;9.61667;NA;1;1;NA;NA
4;55.45;8.4;NA;1;1;NA;NA
18;55.83306;10.61667;NA;1;1;NA;NA
6;55.68306;12.58306;NA;1;1;NA;NA
9;55.68306;12.53306;NA;1;1;NA;NA
11;55.3;14.78306;NA;1;1;NA;NA
4;60.175;24.94778;NA;1;1;NA;NA
139;62.40194;25.67833;NA;1;1;NA;NA
179;67.36583;26.63306;NA;1;1;NA;NA
7;64.98306;34.81639;NA;1;1;NA;NA
110;61.81667;34.26667;NA;1;1;NA;NA
43;57.81667;28.33306;NA;1;1;NA;NA
325;65.06667;17.16639;NA;1;1;NA;NA
15;62.63306;17.93306;NA;1;1;NA;NA
44;59.35;18.05;NA;1;1;NA;NA
20;57.78;11.88;NA;1;1;NA;NA
42;57.66667;18.33306;NA;1;1;NA;NA
166;56.86667;14.8;NA;1;1;NA;NA
160;60.61667;15.61667;NA;1;1;NA;NA
54;53.03306;13.99306;NA;1;1;NA;NA
42;54.68167;13.43667;NA;1;1;NA;NA
81;53.32417;11.93333;NA;1;1;NA;NA
3;54.14556;11.84667;NA;1;1;NA;NA
15;53.14139;11.25556;NA;1;1;NA;NA
45;52.82528;13.79944;NA;1;1;NA;NA
18;54.62944;9.36694;NA;1;1;NA;NA
18;54.30083;9.31694;NA;1;1;NA;NA
30;53.68806;13.26306;NA;1;1;NA;NA
50;54.13556;10.58778;NA;1;1;NA;NA
92;53.33583;13.43889;NA;1;1;NA;NA
41;54.77694;9.37667;NA;1;1;NA;NA
2;53.82917;9.24944;NA;1;1;NA;NA
13;53.20806;14.38333;NA;1;1;NA;NA
1;53.79833;9.43056;NA;1;1;NA;NA
9;53.84306;13.68556;NA;1;1;NA;NA
58;53.60694;12.10417;NA;1;1;NA;NA
34;54.07306;12.32556;NA;1;1;NA;NA
56;53.31667;13.93583;NA;1;1;NA;NA
3;53.47917;9.89833;NA;1;1;NA;NA
1;53.47139;10.18167;NA;1;1;NA;NA
35;53.54806;9.97028;NA;1;1;NA;NA
18;53.58667;10.13056;NA;1;1;NA;NA
10;54.21944;9.08639;NA;1;1;NA;NA
2;53.97167;9.01056;NA;1;1;NA;NA
10;54.32056;10.67417;NA;1;1;NA;NA
1;53.53306;9.67639;NA;1;1;NA;NA
17;54.33917;10.09417;NA;1;1;NA;NA
12;54.00083;11.43583;NA;1;1;NA;NA
40;53.96028;10.33056;NA;1;1;NA;NA
40;52.93806;12.41056;NA;1;1;NA;NA
3;53.8425;13.75667;NA;1;1;NA;NA
7;54.7925;8.94917;NA;1;1;NA;NA
14;54.22056;10.88556;NA;1;1;NA;NA
20;53.1025;11.48778;NA;1;1;NA;NA
3;54.34056;12.71056;NA;1;1;NA;NA
15;53.87889;10.69278;NA;1;1;NA;NA
17;52.97389;11.13917;NA;1;1;NA;NA
11;53.26694;10.42528;NA;1;1;NA;NA
5;54.5;11.23306;NA;1;1;NA;NA
42;53.61417;10.69556;NA;1;1;NA;NA
81;53.54806;13.19306;NA;1;1;NA;NA
26;54.08889;9.98028;NA;1;1;NA;NA
64;53.36;13.05167;NA;1;1;NA;NA
24;54.16056;10.40306;NA;1;1;NA;NA
40;54.36556;13.47833;NA;1;1;NA;NA
13;53.73444;9.87833;NA;1;1;NA;NA
8;54.28917;9.67583;NA;1;1;NA;NA
5;54.32944;8.60278;NA;1;1;NA;NA
37;54.51806;9.14306;NA;1;1;NA;NA
21;52.89278;11.73056;NA;1;1;NA;NA
40;54.66667;9.80444;NA;1;1;NA;NA
38;53.7625;12.55806;NA;1;1;NA;NA
2;53.96417;10.89139;NA;1;1;NA;NA
3;54.53528;13.24778;NA;1;1;NA;NA
10;54.06806;12.76889;NA;1;1;NA;NA
1;53.74583;14.06944;NA;1;1;NA;NA
46;53.66389;10.20028;NA;1;1;NA;NA
70;53.52139;12.66917;NA;1;1;NA;NA
3;54.90056;8.31306;NA;1;1;NA;NA
25;53.89444;11.42528;NA;1;1;NA;NA
66;53.1875;12.49639;NA;1;1;NA;NA
118;53.46306;13.61167;NA;1;1;NA;NA
35;52.80528;12.87306;NA;1;1;NA;NA
8;54.69417;8.52806;NA;1;1;NA;NA
51;52.96806;13.32806;NA;1;1;NA;NA
2;54.08167;13.90056;NA;1;1;NA;NA
45;53.39306;10.68917;NA;1;1;NA;NA
15;54.00417;11.19194;NA;1;1;NA;NA
9;53.85667;9.71639;NA;1;1;NA;NA
77;53.35667;9.93667;NA;1;1;NA;NA
280;58.755;6.01333;23.9;1;0;0.22;1.26775
3;61.77056;5.29889;27.7;1;0;0.48;1.56577
5;55.34;13.36;NA;1;1;NA;NA
5;55.38;13.13;NA;1;1;NA;NA
5;55.38;12.82;NA;1;1;NA;NA
4;55.39;14.19;NA;1;1;NA;NA
40;55.41;13.4;NA;1;1;NA;NA
20;55.44;13.83;NA;1;1;NA;NA
35;55.47;13.52;NA;1;1;NA;NA
10;55.46;13.94;NA;1;1;NA;NA
10;55.47;13.01;NA;1;1;NA;NA
55;55.49;14.05;NA;1;1;NA;NA
52;55.5;14.16;NA;1;1;NA;NA
55;55.51;13.33;NA;1;1;NA;NA
72;55.54;13.37;NA;1;1;NA;NA
8;55.54;14.36;NA;1;1;NA;NA
67;55.55;13.95;NA;1;1;NA;NA
20;55.61;13.08;NA;1;1;NA;NA
3;55.6;12.98;NA;1;1;NA;NA
45;55.63;13.41;NA;1;1;NA;NA
130;55.64;14.13;NA;1;1;NA;NA
80;55.64;13.89;NA;1;1;NA;NA
10;55.66;13.09;NA;1;1;NA;NA
25;55.66;13.53;NA;1;1;NA;NA
112;55.66;14.26;NA;1;1;NA;NA
73;55.7;13.2;NA;1;1;NA;NA
22;55.7;14.2;NA;1;1;NA;NA
90;55.71;14.01;NA;1;1;NA;NA
65;55.85;13.67;NA;1;1;NA;NA
180;55.87;13.87;NA;1;1;NA;NA
9;55.88;12.84;NA;1;1;NA;NA
85;55.9;13.4;NA;1;1;NA;NA
25;55.9;12.72;NA;1;1;NA;NA
150;55.9;13.93;NA;1;1;NA;NA
70;55.93;13.05;NA;1;1;NA;NA
20;55.97;14.12;NA;1;1;NA;NA
60;56;14;NA;1;1;NA;NA
10;56.33;14.15;NA;1;1;NA;NA
10;56.01;14.44;NA;1;1;NA;NA
5;56.01;12.72;NA;1;1;NA;NA
55;56.01;14.85;NA;1;1;NA;NA
152;56.01;13.23;NA;1;1;NA;NA
95;56.03;13.93;NA;1;1;NA;NA
90;56.04;13.69;NA;1;1;NA;NA
3;56.04;15.81;NA;1;1;NA;NA
43;56.04;12.69;NA;1;1;NA;NA
12;56.05;14.34;NA;1;1;NA;NA
5;56.06;14.59;NA;1;1;NA;NA
43;56.08;13.23;NA;1;1;NA;NA
15;56.1;12.89;NA;1;1;NA;NA
25;56.1;13.92;NA;1;1;NA;NA
15;56.1;14.02;NA;1;1;NA;NA
15;56.11;14.62;NA;1;1;NA;NA
55;56.14;13.25;NA;1;1;NA;NA
140;56.13;14.59;NA;1;1;NA;NA
45;56.14;13.74;NA;1;1;NA;NA
10;56.14;12.71;NA;1;1;NA;NA
7;56.17;15.59;NA;1;1;NA;NA
50;56.18;14.85;NA;1;1;NA;NA
2;56.2;16.39972;NA;1;1;NA;NA
13;56.2;12.78;NA;1;1;NA;NA
20;56.22;15.13;NA;1;1;NA;NA
15;56.23;15.02;NA;1;1;NA;NA
115;56.24;13.53;NA;1;1;NA;NA
12;56.24;12.58;NA;1;1;NA;NA
58;56.26;15.27;NA;1;1;NA;NA
10;56.28;16.02;NA;1;1;NA;NA
65;56.28;14.52;NA;1;1;NA;NA
75;56.28;13.3;NA;1;1;NA;NA
20;56.29;12.85;NA;1;1;NA;NA
72;56.3;12.45;NA;1;1;NA;NA
80;56.32;14.71;NA;1;1;NA;NA
100;56.33;15.58;NA;1;1;NA;NA
90;56.33;14.88;NA;1;1;NA;NA
90;56.38;13.98;NA;1;1;NA;NA
5;56.37;16.54;NA;1;1;NA;NA
50;56.38;12.75;NA;1;1;NA;NA
200;56.38;12.98;NA;1;1;NA;NA
20;56.41;15.99;NA;1;1;NA;NA
135;56.42;14.36;NA;1;1;NA;NA
109;56.44;15.32;NA;1;1;NA;NA
110;56.46;13.66;NA;1;1;NA;NA
125;56.49;15.12;NA;1;1;NA;NA
80;56.5;13.46;NA;1;1;NA;NA
35;56.56;13.3;NA;1;1;NA;NA
35;56.52;13.34;NA;1;1;NA;NA
5;56.53;16.39;NA;1;1;NA;NA
145;56.55;14.76;NA;1;1;NA;NA
115;56.56;13.74;NA;1;1;NA;NA
20;56.57;13.03;NA;1;1;NA;NA
175;56.59;13.46;NA;1;1;NA;NA
130;56.6;15.51;NA;1;1;NA;NA
130;56.62;15.14;NA;1;1;NA;NA
140;56.64;14.03;NA;1;1;NA;NA
3;56.63;16.67;NA;1;1;NA;NA
24;56.67;12.92;NA;1;1;NA;NA
25;56.68;12.92;NA;1;1;NA;NA
6;56.73;16.29;NA;1;1;NA;NA
155;56.68;14.34;NA;1;1;NA;NA
165;56.71;13.16;NA;1;1;NA;NA
75;56.72;13.12;NA;1;1;NA;NA
165;56.74;13.36;NA;1;1;NA;NA
92;56.85;15.99;NA;1;1;NA;NA
162;56.76;15.27;NA;1;1;NA;NA
20;56.79;16.32972;NA;1;1;NA;NA
185;56.79;13.14;NA;1;1;NA;NA
15;56.79;12.97;NA;1;1;NA;NA
155;56.83;13.95;NA;1;1;NA;NA
160;56.81;13.7;NA;1;1;NA;NA
25;56.84;16.75;NA;1;1;NA;NA
145;56.84;14.59;NA;1;1;NA;NA
166;56.86667;14.8;NA;1;1;NA;NA
188;56.88;15.69;NA;1;1;NA;NA
145;56.92;14.01;NA;1;1;NA;NA
38;56.92;18.16639;NA;1;1;NA;NA
6;56.93;12.36;NA;1;1;NA;NA
25;56.93;12.55;NA;1;1;NA;NA
155;56.94;13.34;NA;1;1;NA;NA
145;56.95;12.79;NA;1;1;NA;NA
85;56.96306;13.07083;NA;1;1;NA;NA
15;56.98;12.39;NA;1;1;NA;NA
37;57;16.29;NA;1;1;NA;NA
265;56.99;15.29;NA;1;1;NA;NA
4;57.01;16.88;NA;1;1;NA;NA
160;57.02;13.73;NA;1;1;NA;NA
190;57.02;12.92;NA;1;1;NA;NA
180;57.03;14.94;NA;1;1;NA;NA
185;57.03;14.29;NA;1;1;NA;NA
25;57.11;12.39;NA;1;1;NA;NA
100;57.09;12.87;NA;1;1;NA;NA
20;57.11;12.27;NA;1;1;NA;NA
171;57.15;15.68;NA;1;1;NA;NA
250;57.12;14.69;NA;1;1;NA;NA
155;57.15;13.56;NA;1;1;NA;NA
230;57.15;15.4;NA;1;1;NA;NA
100;57.2;12.81;NA;1;1;NA;NA
77;57.2;15.97;NA;1;1;NA;NA
315;57.2;15.08;NA;1;1;NA;NA
215;57.24;14.59;NA;1;1;NA;NA
25;57.24;18.38;NA;1;1;NA;NA
10;57.25;12.1;NA;1;1;NA;NA
20;57.27;16.41;NA;1;1;NA;NA
169;57.29;14.14;NA;1;1;NA;NA
40;57.29;17.96;NA;1;1;NA;NA
155;57.3;12.69;NA;1;1;NA;NA
240;57.31;15.13;NA;1;1;NA;NA
170;57.32;13.93;NA;1;1;NA;NA
140;57.37;13.05;NA;1;1;NA;NA
4;57.37;17.1;NA;1;1;NA;NA
220;57.4;14.64;NA;1;1;NA;NA
125;57.39;16.09;NA;1;1;NA;NA
100;57.39167;15.91333;NA;1;1;NA;NA
220;57.39;15.27;NA;1;1;NA;NA
220;57.39;13.53;NA;1;1;NA;NA
45;57.4;18.53;NA;1;1;NA;NA
230;57.44;14.89;NA;1;1;NA;NA
13;57.42;18.92;NA;1;1;NA;NA
270;57.44;14.47;NA;1;1;NA;NA
15;57.43;18.22;NA;1;1;NA;NA
180;57.43;14.1;NA;1;1;NA;NA
210;57.45;15.03;NA;1;1;NA;NA
185;57.47;15.5;NA;1;1;NA;NA
15;57.49;12.2;NA;1;1;NA;NA
330;57.49;13.86;NA;1;1;NA;NA
32;57.51;18.45;NA;1;1;NA;NA
155;57.51;15.92;NA;1;1;NA;NA
200;57.54;15.1;NA;1;1;NA;NA
45;57.55;12.46;NA;1;1;NA;NA
170;57.54;13.34;NA;1;1;NA;NA
50;57.56;12.04;NA;1;1;NA;NA
350;57.57;14.47;NA;1;1;NA;NA
45;57.6;18.45;NA;1;1;NA;NA
105;57.62;12.94;NA;1;1;NA;NA
140;57.63;15.57;NA;1;1;NA;NA
70;57.62;16.30972;NA;1;1;NA;NA
12;57.63;11.61;NA;1;1;NA;NA
42;57.66667;18.33306;NA;1;1;NA;NA
25;57.64;16.57;NA;1;1;NA;NA
305;57.64;14.69;NA;1;1;NA;NA
61;57.66;12.04;NA;1;1;NA;NA
65;57.66;12.55;NA;1;1;NA;NA
42;57.66;18.34;NA;1;1;NA;NA
150;57.67;12.3;NA;1;1;NA;NA
110;57.67;15.85;NA;1;1;NA;NA
60;57.69;12.23;NA;1;1;NA;NA
345;57.69;13.71;NA;1;1;NA;NA
225;57.69;14.15;NA;1;1;NA;NA
53;57.7;18.64;NA;1;1;NA;NA
275;57.71;14.49;NA;1;1;NA;NA
35;57.79;16.59;NA;1;1;NA;NA
290;57.72;14.99;NA;1;1;NA;NA
50;57.74;18.43;NA;1;1;NA;NA
290;57.75;15.38;NA;1;1;NA;NA
226;57.75;14.07;NA;1;1;NA;NA
135;57.76;12.95;NA;1;1;NA;NA
175;57.77;13.47;NA;1;1;NA;NA
20;57.78;11.88;NA;1;1;NA;NA
99;57.79;14.29;NA;1;1;NA;NA
250;57.81;14.99;NA;1;1;NA;NA
285;57.82;14.72;NA;1;1;NA;NA
225;57.84;14.43;NA;1;1;NA;NA
75;57.85;12.38;NA;1;1;NA;NA
81;57.87;16.17;NA;1;1;NA;NA
174;57.89;14.73;NA;1;1;NA;NA
70;57.89;12.55;NA;1;1;NA;NA
20;57.89;18.76;NA;1;1;NA;NA
13;57.9;19.16;NA;1;1;NA;NA
3;57.9;16.7;NA;1;1;NA;NA
175;57.93;13.7;NA;1;1;NA;NA
190;57.94;13.07;NA;1;1;NA;NA
107;58;15.65;NA;1;1;NA;NA
30;57.99;16.30972;NA;1;1;NA;NA
5;58.01;12.15;NA;1;1;NA;NA
10;58.02;11.6;NA;1;1;NA;NA
195;58.07;15.24;NA;1;1;NA;NA
155;58.04;14.99;NA;1;1;NA;NA
100;58.09;14.4;NA;1;1;NA;NA
285;58.06;14.6;NA;1;1;NA;NA
190;58.08;13.4;NA;1;1;NA;NA
14;58.1;11.35;NA;1;1;NA;NA
115;58.1;12.66;NA;1;1;NA;NA
275;58.11;14.07;NA;1;1;NA;NA
175;58.11;15.25;NA;1;1;NA;NA
180;58.13;15.44;NA;1;1;NA;NA
205;58.16;13.54;NA;1;1;NA;NA
90;58.16;12.65;NA;1;1;NA;NA
45;58.21;16.37;NA;1;1;NA;NA
70;58.22;11.93;NA;1;1;NA;NA
95;58.22;13.06;NA;1;1;NA;NA
120;58.25;14.66;NA;1;1;NA;NA
15;58.24;11.68;NA;1;1;NA;NA
5;58.25;17.01;NA;1;1;NA;NA
100;58.26;16.04;NA;1;1;NA;NA
85;58.27;15.74;NA;1;1;NA;NA
80;58.27;16.07972;NA;1;1;NA;NA
30;58.27;11.43;NA;1;1;NA;NA
181;58.29;13.8;NA;1;1;NA;NA
120;58.31;14.93;NA;1;1;NA;NA
90;58.32;14.33;NA;1;1;NA;NA
125;58.33;14.06;NA;1;1;NA;NA
5;58.33;16.82;NA;1;1;NA;NA
55;58.34;12.68;NA;1;1;NA;NA
80;58.35;13.13;NA;1;1;NA;NA
100;58.37;11.94;NA;1;1;NA;NA
50;58.36;12.36;NA;1;1;NA;NA
85;58.36;13.25;NA;1;1;NA;NA
20;58.36;11.23;NA;1;1;NA;NA
11;58.4;19.2;NA;1;1;NA;NA
90;58.39;15.22;NA;1;1;NA;NA
150;58.39;13.84;NA;1;1;NA;NA
115;58.4;13.45;NA;1;1;NA;NA
115;58.4;13.45;NA;1;1;NA;NA
93;58.4;15.53306;NA;1;1;NA;NA
65;58.43;16.14;NA;1;1;NA;NA
54;58.43556;12.7075;NA;1;1;NA;NA
90;58.45;14.89;NA;1;1;NA;NA
140;58.45;13.67;NA;1;1;NA;NA
49;58.49;16;NA;1;1;NA;NA
46;58.5;16.28;NA;1;1;NA;NA
52;58.53;13.13;NA;1;1;NA;NA
10;58.51;16.86;NA;1;1;NA;NA
95;58.52;14.51;NA;1;1;NA;NA
50;58.52;11.52;1.2;1;0;0.04;0.5844
80;58.52;13.98;NA;1;1;NA;NA
20;58.53;11.57;1.5;1;0;0.05;0.5
95;58.56;15.02;NA;1;1;NA;NA
10;58.55;16.82;NA;1;1;NA;NA
128;58.56;13.35;NA;1;1;NA;NA
70;58.57;11.56;1.3;1;0;0.07;0.55646
80;58.58;13.34;NA;1;1;NA;NA
65;58.64;12.42;NA;1;1;NA;NA
3;58.61;16.21;NA;1;1;NA;NA
21;58.61;16.12;NA;1;1;NA;NA
85;58.65;14.13;NA;1;1;NA;NA
50;58.66;13.12;NA;1;1;NA;NA
90;58.67;11.88;2.1;1;0;0.59;0.99651
50;58.68;16.13;NA;1;1;NA;NA
10;58.68;17.12;NA;1;1;NA;NA
10;58.69;11.25;0.3;1;0;0.93;1.44936
55;58.72;15.78;NA;1;1;NA;NA
50;58.71;13.82;NA;1;1;NA;NA
75;58.74;15.37;NA;1;1;NA;NA
18;58.74;17.87;NA;1;1;NA;NA
25;58.75;16.55972;NA;1;1;NA;NA
135;58.79;15.17;NA;1;1;NA;NA
65;58.78;16.13;NA;1;1;NA;NA
145;58.79;14.32;NA;1;1;NA;NA
185;58.81;14.65;NA;1;1;NA;NA
55;58.82;12.41;0.4;1;0;2.35;2
215;58.85;15.16;NA;1;1;NA;NA
70;58.89;15.72;NA;1;1;NA;NA
25;58.87;16.68;NA;1;1;NA;NA
20;58.89;17.16;NA;1;1;NA;NA
33;58.8925;11.00583;0;1;0;1.54;2
79;58.93;15.45;NA;1;1;NA;NA
50;58.9;13.25;NA;1;1;NA;NA
5;58.9;17.57;NA;1;1;NA;NA
150;58.9;12.04;1.4;1;0;1.34;0.70314
15;58.92;17.92;NA;1;1;NA;NA
5;58.93;17.54;NA;1;1;NA;NA
135;58.97;14.9;NA;1;1;NA;NA
40;58.97;18.45;NA;1;1;NA;NA
30;58.98;17.84;NA;1;1;NA;NA
30;58.99;16.18;NA;1;1;NA;NA
175;58.98;14.79;NA;1;1;NA;NA
78;58.99;14.11;NA;1;1;NA;NA
85;58.99;12.26;4.7;1;0;9.01;2
30;59.01;16.88;NA;1;1;NA;NA
50;59.02;16.37;NA;1;1;NA;NA
69;59.03;15.69;NA;1;1;NA;NA
67;59.67;15.96;NA;1;1;NA;NA
30;59.06;16.59;NA;1;1;NA;NA
4;59.07;18.12;NA;1;1;NA;NA
60;59.08;15.82;NA;1;1;NA;NA
45;59.08;17.86;NA;1;1;NA;NA
20;59.1;17.32;NA;1;1;NA;NA
105;59.1;14.37;NA;1;1;NA;NA
45;59.18;17.92;NA;1;1;NA;NA
28;59.12;18.11;NA;1;1;NA;NA
5;59.11;18.65;NA;1;1;NA;NA
12;59.11;17.71972;NA;1;1;NA;NA
90;59.13;14.53;NA;1;1;NA;NA
50;59.14;12.94;0;1;0;-1;NA
50;59.14;15.28;NA;1;1;NA;NA
35;59.19;16.91;NA;1;1;NA;NA
30;59.16;16.05972;NA;1;1;NA;NA
200;59.17;12.55;0;1;0;4.23;2
40;59.19;17.63;NA;1;1;NA;NA
100;59.22;11.99;0;1;0;1.38;2
30;59.23;17.71972;NA;1;1;NA;NA
75;59.23;14.88;NA;1;1;NA;NA
15;59.24;17.78;NA;1;1;NA;NA
35;59.24;15.29;NA;1;1;NA;NA
20;59.25;17.09;NA;1;1;NA;NA
15;59.25;17.8;NA;1;1;NA;NA
31;59.26;15.26;NA;1;1;NA;NA
10;59.29;18.92;NA;1;1;NA;NA
170;59.29;12.05;0;1;0;0.11;1.13271
82;59.31;14.1;NA;1;1;NA;NA
45;59.32;16.55972;NA;1;1;NA;NA
15;59.32;16.44;NA;1;1;NA;NA
10;59.32;18.37;NA;1;1;NA;NA
44;59.35;18.05;NA;1;1;NA;NA
10;59.35;15.48;NA;1;1;NA;NA
55;59.35;12.96;0;1;0;0.01;0.5
14;59.35333;17.95139;NA;1;1;NA;NA
107;59.44444;13.3375;0;1;0;0;0.5
10;59.36;17.71972;NA;1;1;NA;NA
55;59.37;13.85;NA;1;1;NA;NA
2;59.37;18.16;NA;1;1;NA;NA
95;59.38;14.61;NA;1;1;NA;NA
8;59.39;16.46;NA;1;1;NA;NA
15;59.4;17.05972;NA;1;1;NA;NA
50;59.4;15.19;NA;1;1;NA;NA
68;59.4;13.27;1.6;1;9;NA;NA
22;59.41;18.23;NA;1;1;NA;NA
25;59.41;17.48;NA;1;1;NA;NA
15;59.42;15.61;NA;1;1;NA;NA
70;59.44;12.76;0;1;0;0;0.5
12;59.44417;19.50556;NA;1;1;NA;NA
