elev;lat;lon;value;prid;dqc;sct;rep
166;56.86667;14.8;NA;1;1;NA;NA
160;60.61667;15.61667;NA;1;1;NA;NA
325;65.06667;17.16639;NA;1;1;NA;NA
93;58.4;15.53306;NA;1;1;NA;NA
107;59.44444;13.3375;0;1;0;0;0.5
376;63.18306;14.48306;1.9;1;0;0;0.5
4;60.175;24.94778;NA;1;1;NA;NA
139;62.40194;25.67833;NA;1;1;NA;NA
179;67.36583;26.63306;NA;1;1;NA;NA
11;53.635;9.99;NA;1;1;NA;NA
59;53.64417;11.38833;NA;1;1;NA;NA
21;54.71667;20.55;NA;1;1;NA;NA
26;67.15;32.35;NA;1;1;NA;NA
7;64.98306;34.81639;NA;1;1;NA;NA
3;59.96667;30.3;NA;1;1;NA;NA
57;68.96667;33.04972;NA;1;1;NA;NA
110;61.81667;34.26667;NA;1;1;NA;NA
43;57.81667;28.33306;NA;1;1;NA;NA
17;61.71667;30.71667;NA;1;1;NA;NA
18;56.76667;8.31667;NA;1;1;NA;NA
25;56.28306;9.61667;NA;1;1;NA;NA
4;55.45;8.4;NA;1;1;NA;NA
23;54.9;9.27;NA;1;1;NA;NA
11;55.85;10.6;NA;1;1;NA;NA
9;55.68306;12.53306;NA;1;1;NA;NA
8;55.71667;12.56667;NA;1;1;NA;NA
6;55.68306;12.58306;NA;1;1;NA;NA
11;55.3;14.78306;NA;1;1;NA;NA
323;60.64583;6.22333;10.9;1;0;0.76;1.71944
6;55.73306;21.06667;NA;1;1;NA;NA
1;54.60333;18.81167;NA;1;1;NA;NA
1;53.39528;14.62278;NA;1;1;NA;NA
82;57.84583;27.01917;NA;1;1;NA;NA
6;58.38306;21.81528;NA;1;1;NA;NA
2;54.75333;17.53444;NA;1;1;NA;NA
314;66.8875;18.01778;2.7;1;0;0.05;0.76135
5;65.82694;24.14389;NA;1;1;NA;NA
6;63.59;20.76;NA;1;1;NA;NA
308;60.68139;13.69944;0;1;0;0.38;1.16997
46;59.35;13.46667;NA;1;1;NA;NA
11;58.4;19.2;NA;1;1;NA;NA
33;69.2;35.1;NA;1;1;NA;NA
34;68.61639;31.8;NA;1;1;NA;NA
5;57.71583;11.99417;NA;1;1;NA;NA
44;59.35;18.05;NA;1;1;NA;NA
308;60.68139;13.69944;0;1;0;0.38;1.16997
15;62.63306;17.93306;NA;1;1;NA;NA
314;66.8875;18.01778;2.7;1;0;0.05;0.76135
26;55.0125;8.4125;NA;1;1;NA;NA
43;54.52889;9.54917;NA;1;1;NA;NA
3;54.52944;11.06167;NA;1;1;NA;NA
4;54.18167;12.08194;NA;1;1;NA;NA
2;54.09778;13.4075;NA;1;1;NA;NA
38;52.90528;12.80833;NA;1;1;NA;NA
7;68.87972;33.02;NA;1;1;NA;NA
143;68.4;33.29972;NA;1;1;NA;NA
161;68.08;34.81639;NA;1;1;NA;NA
145;68;32.9;NA;1;1;NA;NA
30;66.68;32.9;NA;1;1;NA;NA
93;66.09972;32.9;NA;1;1;NA;NA
39;66.67;34.33;NA;1;1;NA;NA
118;65.2;31.17;NA;1;1;NA;NA
9;65.9;34.81639;NA;1;1;NA;NA
96;64.7;32.1;NA;1;1;NA;NA
160;64.08;32.78;NA;1;1;NA;NA
9;64.59972;34.9;NA;1;1;NA;NA
2;64.2;35.9;NA;1;1;NA;NA
180;63.82;30.82;NA;1;1;NA;NA
130;63.27;33.42;NA;1;1;NA;NA
112;63.7;34.31639;NA;1;1;NA;NA
98;62.18;30.68;NA;1;1;NA;NA
81;62.9;34.4;NA;1;1;NA;NA
139;62.97;35.75;NA;1;1;NA;NA
38;62.2;34.31639;NA;1;1;NA;NA
147;62.2;36.9;NA;1;1;NA;NA
132;61.7;33.6;NA;1;1;NA;NA
61;61.8;36.55;NA;1;1;NA;NA
14;60.72;28.8;NA;1;1;NA;NA
6;60.08;26.97;NA;1;1;NA;NA
11;60.98;32.95;NA;1;1;NA;NA
23;60.7;33.6;NA;1;1;NA;NA
7;60.47;32.9;NA;1;1;NA;NA
12;60.12;32.32;NA;1;1;NA;NA
17;59.37;28.6;NA;1;1;NA;NA
90;59.4;30.1;NA;1;1;NA;NA
16;59.9;31;NA;1;1;NA;NA
38;59.4;31.3;NA;1;1;NA;NA
40;58.7;27.8;NA;1;1;NA;NA
91;58.57;29.8;NA;1;1;NA;NA
128;58.2;29.1;NA;1;1;NA;NA
16;57.9;24.4;NA;1;1;NA;NA
71;57.9;25.3;NA;1;1;NA;NA
3;57.37;21.55;NA;1;1;NA;NA
70;57.2;22.38;NA;1;1;NA;NA
6;57.3;23.1;NA;1;1;NA;NA
9;57.3;24.4;NA;1;1;NA;NA
122;57.3;25.4;NA;1;1;NA;NA
84;57.5;26.3;NA;1;1;NA;NA
197;57.43917;27.03528;NA;1;1;NA;NA
9;56.9;21.2;NA;1;1;NA;NA
64;56.7;21.6;NA;1;1;NA;NA
104;56.5;22.9;NA;1;1;NA;NA
44;56.6;23.3;NA;1;1;NA;NA
18;56.2;21.2;NA;1;1;NA;NA
64;55.7;21.5;NA;1;1;NA;NA
153;55.9;22.3;NA;1;1;NA;NA
165;55.6;22.2;NA;1;1;NA;NA
4;55.4;21.5;NA;1;1;NA;NA
2;55.3;21;NA;1;1;NA;NA
330;68.44194;22.45028;2.7;1;0;0.73;1.66356
33;54.20417;16.15528;NA;1;1;NA;NA
2;54.75333;17.53444;NA;1;1;NA;NA
189;54.22306;19.54333;NA;1;1;NA;NA
5;53.92306;14.24194;NA;1;1;NA;NA
164;53.71528;17.53222;NA;1;1;NA;NA
13;62.85944;6.53917;11.4;1;0;0.03;0.69383
550;62.59667;10.27139;0.7;1;0;1.2;2
329;61.42028;6.37556;14.6;1;0;0.08;0.5
