lat;lon;elev;value;prid;dqc;sct;rep
60.22301;11.34589;147;5.8;3;0;0.82;2
59.26375;10.3991;20;7.2;3;0;0.06;0.5
59.92501;11.07213;163;6.8;3;0;1.74;0.5
59.17322;10.21136;117;7.1;3;0;1.41;1.10098
59.92162;10.772;32;8.6;3;0;0.19;1.91709
59.30175;11.40929;108;10.8;3;5;22.02;NA
59.82235;10.32935;198;1;3;5;16.01;NA
60.08917;11.08718;159;5.2;3;4;NA;NA
59.93423;11.02297;199;7.1;3;0;0.06;0.65037
59.79615;10.61694;94;7.3;3;0;1.44;1.71665
59.9144;10.85148;159;7;3;0;1.21;0.92975
59.27614;10.32539;31;6.7;3;0;0.03;0.5
59.4919;10.3858;-4;10.6;3;1;NA;NA
59.59194;10.65602;58;7.9;3;0;0.03;0.78979
59.12858;11.38765;24;9;3;0;1.87;2
59.95313;10.77722;155;7.1;3;0;0.03;0.5
58.62247;9.06083;0;6;3;0;0.45;0.5
60.11991;11.48231;148;6.5;3;0;4.11;2
59.93392;10.59997;109;3.6;3;0;2.59;2
59.74394;10.33695;147;6;3;0;2.96;2
60.05924;10.86849;247;5.8;3;0;0;0.5
59.91899;10.70277;26;8;3;0;1.79;2
59.95579;11.06087;108;7.9;3;0;0;0.5
59.27016;10.41922;19;7.1;3;0;0.48;0.57921
59.90526;10.80856;125;7.6;3;0;0.03;0.6506
59.2503;10.42928;0;17;3;5;18.13;NA
60.04698;9.63157;130;1.8;3;0;0.31;1.85455
59.94987;10.78516;199;7;3;0;0.3;0.9325
59.08834;9.696;22;5.9;3;0;0.6;0.54855
59.86831;10.4973;14;1.4;3;5;17.38;NA
59.94106;10.92629;186;7.8;3;0;0.93;2
59.87548;10.4911;30;4.2;3;0;0.7;2
59.92209;10.64985;67;7.1;3;5;5.11;NA
59.96617;10.891;279;7.4;3;5;4.34;NA
59.83119;10.2605;110;5.8;3;5;6.69;NA
59.16184;10.93735;12;8.6;3;0;0.11;0.5
59.42319;10.38441;89;6.7;3;0;0.31;0.5
59.90849;10.85522;211;6.8;3;0;0.23;0.78835
59.90935;10.5317;98;2.9;3;0;1.72;2
59.93237;11.14735;176;6.9;3;0;1.21;0.8608
59.62038;11.07879;117;8.5;3;0;1.64;2
59.95727;10.63874;169;4.4;3;0;1.5;2
59.76065;9.95399;9;3;3;0;0;0.8708
59.91578;10.96974;163;6.4;3;0;4.53;1.9325
59.91009;10.53556;93;6;3;5;8;NA
60.25038;11.74215;153;1.4;3;5;46.96;NA
60.16245;10.25558;82;5.9;3;0;1.96;1.18443
59.47198;10.0121;99;4.7;3;0;0.1;1.76607
59.76428;10.86178;185;7.7;3;0;0.68;2
58.89822;9.29575;72;4.2;3;0;1.25;2
59.41119;9.06526;99;19.9;3;5;60.1;NA
59.9519;10.88194;176.3;7.6;3;0;0.22;1.34688
59.30856;10.4272;51;6.7;3;0;0.87;0.53459
59.98395;9.29934;204;1.5;3;0;0.3;1.7644
59.92856;10.49056;112;4.8;3;5;7.77;NA
59.12099;10.20432;32;6.4;3;0;0.08;1.38243
59.87042;10.78866;112;8.3;3;0;1.92;2
59.95522;10.73648;115;6.8;3;0;0.01;0.5
59.93919;10.7617;80;7.7;3;0;0.06;0.85501
59.13702;10.20375;63;7.4;3;5;8;NA
59.58366;10.78639;81;7.2;3;0;0.61;1.08085
59.26499;11.00047;51;8;3;0;0.45;1.97964
58.85919;11.22326;9;8.6;3;0;1.38;0.80017
59.92521;10.69599;33;6.9;3;0;0.13;0.5
59.39818;9.0716;180;3.3;3;0;1.98;0.5
59.10829;10.85381;18;8.6;3;0;0.03;0.5
59.65842;10.80204;105;7.3;3;0;0.36;1.0151
60.41696;10.50176;229;7.5;3;5;4.87;NA
59.94271;10.72061;96;7;3;0;0.27;0.57219
58.41264;11.60754;18;7.7;3;0;2.03;2
59.76835;9.8857;35;2.4;3;0;0.96;2
59.17153;10.21192;104;6.8;3;0;0.39;0.5
59.52831;10.68812;2;8.1;3;0;0.07;0.94592
59.34819;10.44563;82;8.1;3;5;4.05;NA
60.37824;10.42506;167;6.5;3;0;1.64;2
59.34913;10.8107;23;6.6;3;0;4.4;1.78468
59.0929;9.68985;29;4.9;3;0;0.88;1.70963
60.244;8.54582;1147;2;3;0;0;0.5
59.15666;11.03225;1;8.2;3;0;0.24;0.61033
59.12364;10.38302;11;8.6;3;0;0.84;0.76981
60.18796;11.98298;198;7.3;3;0;0.04;1.07642
60.04073;9.14711;273;1.2;3;0;0.03;0.86523
60.19765;11.83891;161;6.7;3;0;6.5;0.70361
59.19355;10.23074;101;6.8;3;0;0.47;0.5
59.94414;10.7266;98;6.7;3;0;0.07;0.5
59.73803;10.19212;9;2.2;3;5;15.97;NA
59.93764;10.50837;188;4.8;3;5;4.41;NA
60.16218;11.18385;214;5.5;3;0;0.2;0.5
60.16334;10.24612;116;10.8;3;5;36.9;NA
59.9334;10.59944;111;3;3;5;8.21;NA
59.74775;11.14499;174;6.9;3;0;0.96;0.77202
59.97046;11.24679;187;7.1;3;0;0.33;0.94447
59.92442;11.4539;164;7.7;3;4;NA;NA
59.7311;10.75407;83;8.1;3;0;0.6;2
59.92702;10.93821;189;7.2;3;0;0.03;0.56098
60.38592;9.18808;0;1.9;3;6;0.01;0.5
59.91301;10.60861;45;2.7;3;5;16.04;NA
59.82823;10.26028;188;5.5;3;5;4.26;NA
58.87156;9.40578;69;5.5;3;0;0;0.5
59.72285;10.82846;50;7.1;3;0;1.29;1.0961
59.07333;10.99751;20;8.9;3;0;0.28;1.19465
59.30004;11.10164;58;7.2;3;0;0.4;0.93395
59.16364;8.61358;706;1.6;3;0;0.11;0.5
59.65561;9.67102;236;5.4;3;5;5.49;NA
59.90772;10.72189;1;9.4;3;5;5.88;NA
59.76124;10.85396;154;7.1;3;0;0.53;0.88292
58.85993;9.38129;35.4;6.2;3;0;0.41;0.97903
59.67049;9.66559;201;3.9;3;0;2.65;2
59.95642;11.0028;150;7.4;3;0;0.3;1.11029
59.77879;9.86091;104;4.4;3;5;4.01;NA
59.69765;10.26849;98;6.1;3;0;1.76;2
59.91784;10.78634;74;8.2;3;0;0.17;1.66936
58.45021;8.75885;52;5.5;3;0;0.09;1.06773
59.47024;10.96501;90;7.3;3;0;0.02;0.5
59.26236;10.25531;72;6.5;3;0;0.29;0.69453
59.2212;10.29475;69;7;3;0;0.42;0.66578
59.4171;9.32743;156;4.6;3;0;1.07;1.8907
59.73506;11.40015;168;7.7;3;0;1.78;2
59.17806;11.10323;16;8.6;3;0;0.13;0.54191
59.91336;10.70185;43;8.2;3;5;4.16;NA
59.72575;10.21912;54;5.2;3;0;0.97;2
59.93134;10.76925;65;8.1;3;0;0.18;1.61841
59.55742;11.34175;134;8.3;3;5;8.29;NA
59.7188;10.83704;141;8;3;0;0.85;2
60.26987;9.32873;896;0.2;3;0;0.37;0.92991
60.08915;11.482;177;6.2;3;0;6.43;2
59.83858;10.45743;86;4.4;3;0;0.35;2
59.95213;10.68906;141;10.9;3;5;28.22;NA
60.06865;8.92793;950;1;3;0;0.02;0.5
59.87707;10.48374;51;4.1;3;0;1.26;2
58.78233;11.23004;13;8.5;3;0;1.74;0.7014
59.5973;10.76203;89;8;3;0;0.76;2
58.4324;11.28236;11;9;3;0;0.02;0.5
58.94791;9.59921;17;4.3;3;0;0.62;2
59.44798;10.34166;90;6.3;3;0;0.09;0.67401
59.95965;10.91654;206;7.1;3;0;0;0.5
59.27255;11.05375;69;7.5;3;0;0.13;0.92853
59.09173;10.21597;13;5.7;3;5;8.46;NA
59.57386;9.19447;27;3.3;3;0;0.61;1.69789
59.97918;11.25118;144;7.9;3;0;1.92;1.93265
59.94878;10.74423;115;6.5;3;0;0.83;0.97445
59.27763;10.48012;36;8;3;0;0.29;1.73404
59.94412;10.686;109;5.3;3;0;2.1;2
59.92688;10.68376;29;7.2;3;0;0.54;0.88613
60.1729;10.25414;95;6.1;3;0;3.75;1.96682
59.88666;8.68613;246;5.1;3;0;1.72;2
59.7642;10.00434;81;5.1;3;5;6.81;NA
60.32334;10.63445;388;5.2;3;0;2.54;1.234
59.18974;10.89584;7;8.6;3;0;0.01;0.67943
59.71282;10.23523;48;1.4;3;5;17.1;NA
59.40519;10.46587;23;6.5;3;0;1.33;1.47441
59.76039;10.05946;65;2.7;3;0;1.78;2
59.79069;10.76078;101;6.8;3;0;2.87;0.5
59.90575;10.68949;18;7.3;3;0;0.01;0.5
59.76443;9.83267;193;3.5;3;0;0.24;0.5
59.88861;8.68542;150;4.8;3;0;0;0.5
59.82642;10.81302;128;7.9;3;0;0.61;2
60.06248;10.85465;256;5.9;3;0;0.16;0.5
59.1796;10.44126;37;8.2;3;0;0;0.5
59.92269;10.72601;38;9.1;3;5;4.81;NA
59.92895;10.59407;96;2.8;3;5;8.55;NA
59.75244;10.13939;47.5;3.3;3;0;0.91;2
59.91973;10.84551;141;7.9;3;0;0.2;1.50446
59.71872;11.45998;154;7.3;3;0;0.88;0.80444
59.9696;11.05532;128;9.1;3;5;5.24;NA
59.90389;10.60278;17;5.8;3;0;0.87;2
59.92593;10.78248;67;7.4;3;0;1.74;2
59.95475;10.85411;211;6.5;3;0;0.74;0.5
60.07794;8.82196;836;0;3;0;0.91;1.58836
59.89554;10.56266;12;3.7;3;0;4.29;2
59.92459;10.77438;67;17.8;3;5;19.62;NA
59.92003;10.65716;33;8.1;3;5;7.52;NA
59.69727;10.26505;121;5;3;0;0.72;2
60.16822;10.25642;81;5.7;3;0;1.27;0.58645
58.57123;9.01892;13;5.8;3;0;0.15;0.5
59.83129;10.78962;169;7.4;3;0;0;0.5
59.12654;9.64392;39;6;3;0;1.24;1.12448
59.08958;10.14043;42;4.9;3;5;8.62;NA
59.82358;10.46334;38;4.2;3;0;0.99;2
59.97764;10.66094;483;4.1;3;0;0.01;0.5
59.9395;10.7613;78;10.4;3;5;8.1;NA
59.52119;10.68775;32;8;3;0;0.01;0.52452
59.76031;10.17827;183;3.8;3;0;1.49;2
59.00685;9.7006;23;4.3;3;0;2.64;2
60.0498;10.8806;125;5.7;3;0;4.5;2
59.29414;10.76284;32;9.5;3;5;4.39;NA
59.88046;8.62795;283;3.8;3;0;0;0.5
59.91572;10.86191;226;6.9;3;0;0;0.5
59.74327;10.22449;6;4.8;3;0;0.12;1.95218
59.94055;10.76054;81;8.2;3;0;1.8;2
59.85298;10.47246;87;3.5;3;0;0.7;2
59.87517;10.51146;42;4.3;3;0;0.56;2
59.8284;10.69366;77;7.1;3;0;0.06;0.5
59.96708;10.76682;184;6.9;3;0;0.45;0.74335
58.48267;8.85454;45.9;8.5;3;5;14.2;NA
59.91176;10.97581;197;7.3;3;0;0.11;0.91374
60.2726;10.19225;177;5.1;3;0;1.6;1.5008
59.01146;9.74347;11;5.3;3;0;0.28;0.8618
59.00446;9.73567;20;7.2;3;5;4.24;NA
59.92997;10.61688;31.6;5.5;3;0;0.44;2
60.26619;9.40625;900;2;3;0;1.96;2
59.73557;10.76518;74;7.5;3;0;0.21;1.10358
59.95321;10.7001;170;5;3;0;3.94;2
59.58017;10.43577;3;7.6;3;0;0.15;0.82694
59.17943;10.21537;120;6.7;3;0;0.1;0.5
59.91141;10.92682;205;7.1;3;0;0;0.5
60.13945;11.01214;219;5.2;3;0;0.29;0.77096
59.67354;9.67715;262;3.9;3;0;2.22;2
59.60216;9.27872;149;2.4;3;0;5.24;2
59.71848;10.81242;163;7.1;3;0;0.68;0.97735
59.02125;9.94315;75;6.1;3;0;1.62;1.88643
59.95846;10.77817;174;6.4;3;0;0.79;0.96728
60.21688;10.71153;285;5.9;3;0;0.29;0.61605
59.96751;10.64369;220;6.6;3;5;5.53;NA
60.01591;11.16678;154;7.6;3;0;0.01;0.5
60.23778;11.20517;200;4.7;3;0;1.78;2
60.41319;10.57285;373;4.6;3;0;0.03;0.5
60.07929;9.51661;132;1.8;3;0;0.2;0.69377
59.21449;10.33729;54.8;7.2;3;0;0.07;0.57578
59.37294;11.16187;58;7.5;3;0;0.27;1.14156
60.35609;10.57191;209;23.5;3;5;46.28;NA
60.21458;10.7133;256;6;3;0;0.66;0.83869
59.58147;10.2457;26;5.9;3;0;0.25;1.50873
58.92344;11.19896;19;8.9;3;0;0.16;0.93242
59.14778;11.39002;128;8.2;3;0;0.61;0.70468
60.5138;10.29714;183;5.5;3;0;0.17;0.5
59.76724;10.06773;64;4;3;0;1.8;2
59.58609;11.14991;133;8.5;3;0;2.81;2
59.92451;10.95405;164;7.6;3;0;0.06;0.82595
59.69882;9.79056;96;2.3;3;0;1.46;2
59.91687;10.62271;65;6.5;3;5;4.48;NA
59.9882;11.24655;122;7.5;3;0;0.17;0.96575
59.94379;10.69449;4;4.7;3;5;16.02;NA
59.88942;10.83891;144;7.6;3;0;0;0.5
59.19455;10.8799;36;8.4;3;0;0.02;0.79414
59.92134;10.81552;155.7;23.1;3;5;54.19;NA
58.51841;8.91433;35;5.1;3;0;0.02;0.5
60.11156;11.2967;161;6.4;3;0;1.12;2
59.91983;10.55362;88;2.5;3;0;6.12;2
59.30136;10.47265;40;7.8;3;0;0.37;1.67165
59.92689;10.67669;12;5.6;3;0;7.86;2
60.01718;11.16584;66;-0.5;3;5;77.82;NA
59.1323;9.66307;6.6;6;3;0;0.69;0.56487
59.95238;11.04582;107;8.9;3;5;4.15;NA
59.90803;10.72589;1;9.4;3;5;4.81;NA
59.94943;10.28016;82;5.1;3;0;2.77;2
59.9003;11.08957;225;7.5;3;0;1.71;2
59.05466;10.11987;29;6.8;3;0;1.63;2
59.98185;11.02976;144;7.9;3;0;0.2;1.49989
59.75449;10.10755;8;5;3;5;8.01;NA
58.52239;8.64219;58;5.7;3;0;0.74;1.7888
59.29054;10.48442;29;7.9;3;0;0.17;1.33331
59.29318;10.49667;8;7.2;3;0;2.12;0.93029
59.12467;11.45;85;8.5;3;0;1.01;2
58.68558;12.52022;49;7.1;3;0;0.32;1.66585
59.90476;10.56496;41;5.6;3;5;5.17;NA
59.58008;11.15957;132;7.7;3;0;0.01;0.5
59.21202;9.52368;39;5;3;0;0.81;1.45504
59.91041;10.72615;10;9.6;3;5;7.75;NA
59.75291;10.04519;32;5.3;3;5;5.06;NA
59.8815;10.85118;176;7.9;3;0;1.35;2
59.68299;10.72639;103.5;7.8;3;0;0.07;0.96026
59.17408;10.26498;65;6.7;3;0;0.01;0.5
59.25313;10.45147;25;7.6;3;0;0.15;0.9611
59.91328;10.9612;166;7.3;3;0;0.05;0.60445
59.0004;10.02428;44;8.3;3;0;1.96;2
59.88573;10.80438;166;7.1;3;0;0.29;0.802
59.74324;10.19437;3;5.1;3;0;2.8;2
59.40507;10.70034;52;7.9;3;0;0.06;0.95248
59.94351;10.84726;149;7.4;3;0;0.15;0.88803
59.82213;10.19814;90;4.7;3;0;1.02;2
59.58588;9.92494;429;4.4;3;0;1.26;1.10129
59.4402;8.84194;121;3.8;3;0;1.2;0.5
59.28856;10.43119;34;7.2;3;0;0.08;0.52498
58.85123;9.4241;602;6.2;3;5;4.99;NA
59.54335;10.73997;116;7.7;3;0;0;0.5
59.60342;9.75709;77;1.3;3;0;3.13;2
59.90823;10.52641;103;4.3;3;0;2.77;2
59.78981;9.42819;561;3.1;3;0;0;0.5
59.28646;10.18443;72;6;3;0;0.36;1.43856
60.29123;9.29976;917;0.5;3;0;0.03;0.5
60.47028;12.00104;207;7.2;3;0;0.94;2
59.27994;11.03764;54;7.2;3;0;0.56;1.00549
59.73825;10.71493;201.9;8.8;3;5;5.99;NA
59.13881;10.20947;32;4.4;3;5;9.58;NA
59.73621;10.60166;52;6.7;3;0;2.11;0.69316
59.92495;10.64103;41;6.1;3;0;0.69;1.71711
59.86731;8.7125;990;1.3;3;0;0.04;0.5
59.93777;10.99873;165;7.7;3;0;0.17;1.26741
59.77232;10.48097;18;4.6;3;5;8.31;NA
59.56214;10.26744;50;8.9;3;5;8.27;NA
59.95665;11.01076;150;7.6;3;0;0.02;0.56273
59.90189;10.77273;29;8.4;3;0;0;0.5
60.32188;10.14242;193;4.5;3;0;0.21;1.16658
59.72479;10.80997;165;7.1;3;0;0.68;0.9878
59.88876;10.51753;33;4.3;3;0;0.96;2
59.37989;10.75316;39;7.9;3;0;0.03;0.79872
59.94118;10.78322;160.3;7.1;3;0;0;0.5
59.84026;10.46789;75;5;3;0;3.05;2
59.19275;10.90417;25;8.5;3;0;0.04;1.05263
59.75261;10.83207;127;7.5;3;0;0.01;0.5
59.78682;10.2382;34;4.3;3;0;0.01;0.92274
59.92855;10.7149;47;7.7;3;0;0.86;2
59.81437;10.46604;39;5.6;3;0;2.01;2
59.8949;10.56588;22;5.2;3;0;1.36;2
59.91811;10.93837;225;7.2;3;0;0.39;1.68263
59.91894;10.49357;61;4.8;3;5;8.03;NA
59.62979;9.49926;329;4.1;3;0;3.28;2
58.42067;11.41937;21;8.4;3;0;0.1;0.5
59.65485;12.59214;60;8.9;3;0;0.01;0.52002
59.94782;11.03801;155;7.8;3;0;0.16;1.31622
59.82737;10.28471;348;4.8;3;5;4.97;NA
58.54919;8.98362;40;6.4;3;0;2.29;2
59.92181;10.66535;17;6.4;3;0;0.25;0.96919
