lat;lon;elev;value;prid;dqc;sct;rep
59.2852;11.1128;57;7.6;1;0;0.03;0.31634
59.9847;10.6693;514;3.8;1;0;0.04;0.33491
59.091;9.66;100;5.1;1;0;0.64;0.49706
59.8558;10.4358;163;4.6;1;0;2.59;1
59.9423;10.72;94;6.8;1;0;0.01;0.25
58.3988;8.7893;12;7.4;1;0;1.02;1
59.9119;11.5801;128;7.7;1;0;0.03;0.25
59.6605;10.7818;92;7.4;1;0;0.24;0.50114
59.3742;10.798;40;8;1;0;0.88;1
60.2065;11.0802;202;6;1;0;0.37;0.3682
60.1903;12.0067;148;7.6;1;0;0;0.25
59.4352;10.578;14;8.6;1;0;1.71;1
60.383;9.605;142;4.5;1;0;1.55;1
58.87;9.0263;32;4.6;1;0;0;0.25
59.7537;10.1237;8;2.1;1;0;8.65;1
59.9708;11.0383;108;8.2;1;0;0.33;0.99104
59.713;10.146;193;0;1;5;23.02;NA
59.0272;10.5242;6;9.2;1;0;0.83;0.68725
58.6361;9.1479;4;6.7;1;0;0.32;0.49359
58.9688;10.148;15;9.4;1;0;0.09;0.44104
60.4188;8.5263;798;-2.3;1;0;3.23;1
59.0257;8.5187;252;3.8;1;0;0.09;0.37735
59.23;10.3483;26;6.4;1;0;2.15;0.93681
59.1513;10.8288;10;9.2;1;0;0.49;0.75589
60.1173;10.829;170;3.2;1;0;5.15;1
60.0513;10.6878;360;4.6;1;0;0.56;0.25
59.3822;9.2128;93;3;1;0;0.3;0.55362
60.0435;9.1468;275;1.2;1;0;0.03;0.40569
59.511;10.2078;90;3;5;5;16.02;NA
59.1005;9.771;130;5.6;5;0;0.35;0.63153
59.8388;11.3625;204;6.6;5;0;1.41;1.21966
59.1828;10.2077;100;5.3;5;0;5.32;2
59.794;10.76;110;8.3;5;0;2.11;2
60.3582;11.5898;135;7.1;5;0;0.32;0.72687
59.819;10.33;250;1.1;5;5;16;NA
59.1255;9.5077;10;3.5;5;0;7.11;2
59.4895;8.6443;125;2.1;5;0;3.75;2
59.6002;10.7395;75;5.4;5;5;10.07;NA
60.3977;11.2303;150;7.2;5;5;4.04;NA
60.3667;9.186;890;2.1;5;5;4.01;NA
59.1778;11.2075;40;8.8;5;0;0.02;0.75677
60.2052;10.3113;190;4.7;5;0;0.03;0.63229
59.6415;10.6038;12;8.5;5;0;0.85;2
60.2688;11.4792;130;6.8;5;0;0.89;0.85295
58.9817;9.6068;50;0.9;5;5;16.55;NA
60.102;12.063;185;7.3;5;0;1.42;1.28205
59.9865;10.9287;225;6.3;5;0;0.81;0.5
59.2737;9.9268;52;5.8;5;0;0.03;0.75837
59.5702;10.0597;45;2.1;5;5;14.18;NA
60.3738;8.4885;1035;3.4;5;0;3.11;2
59.4765;10.79;30;7.2;5;0;1.39;1.22943
60.3712;11.3588;322;5.3;5;0;2.18;1.486
59.9112;10.7043;20;3.1;5;5;27.77;NA
58.9732;9.5368;70;3;5;0;2.63;2
60.2852;11.1358;180;5.6;5;0;0.06;0.5
60.0518;10.049;135;2.3;5;5;10.36;NA
59.1855;9.5403;20;4.2;5;0;0.3;0.51598
60.2685;9.6923;150;2.9;5;0;0.37;0.85775
59.7397;11.0083;130;7.6;5;0;0.25;1.26817
59.8438;11.7178;171;7.5;5;0;0.49;1.03066
59.51;11.6107;208;6.8;5;0;1.55;0.5
59.3183;10.3748;30;7.1;5;0;0.53;0.72626
59.0645;9.9418;65;4.7;5;0;5.32;2
59.942;11.3015;145;7.6;5;0;0;0.5
60.2588;9.8453;212;3;5;5;4.66;NA
60.5545;11.2502;141;6.5;5;0;0.99;1.41522
60.2755;10.7475;415;4.2;5;0;0.7;0.9174
59.941;10.798;140;6.6;5;0;2.77;1.14537
59.1105;11.2753;66;8.6;5;0;0.6;2
60.2822;10.5295;385;4.1;5;0;0.02;0.514
59.9475;10.3855;250;-0.8;5;5;34.51;NA
59.7582;11.2923;179;6.8;5;0;1.76;1.74487
59.8923;10.5403;3;5.4;5;0;3.65;2
59.2543;11.6843;120;7.5;5;0;5.93;2
59.962;10.975;188;7.5;5;0;0.13;1.07963
58.9928;9.9232;10;7.1;5;0;0.24;1.51728
59.3037;10.1975;20;4.7;5;0;4.27;2
59.5177;10.7252;25;6.7;5;0;7.22;1.60667
59.9542;11.203;128;7.8;5;0;0.07;0.9357
58.9032;8.562;160;2.4;5;5;10;NA
59.6625;10.3802;7;4.9;5;5;9.84;NA
59.5873;8.585;335;2.3;5;0;0.01;0.5
59.432;10.4217;40;6.4;5;0;0.32;0.90824
59.9378;10.8905;160;7.7;5;0;0.07;0.9042
59.546;11.4535;158;7.1;5;0;0.42;0.99291
59.3503;10.897;50;6.9;5;0;0.17;0.5
59.548;10.4922;165;6.8;5;0;0.34;0.5
60.1468;11.494;145;7.2;5;0;1.92;1.98025
59.8703;8.9267;200;4.7;5;0;0.01;0.5
60.4548;10.643;620;3.2;5;0;0.03;0.5
59.376;11.3027;130;7.7;5;0;0.01;0.5
60.157;10.7217;235;5.6;5;0;0.65;0.5
59.107;10.1062;70;6.9;5;5;4.09;NA
59.964;10.3435;340;3.3;5;5;8.08;NA
59.6112;9.4545;390;2.7;5;0;0.65;0.5
59.2728;9.2802;50;2.4;5;0;1.03;2
58.9397;9.3323;60;3.6;5;0;1.95;2
60.1677;11.1165;203;6.4;5;0;1.09;1.73831
59.5923;11.095;97;7.1;5;4;NA;NA
60.2525;12.4562;273;6.2;5;7;1.32;2
59.685;10.8312;91;7.8;5;0;0.13;1.18
59.5735;10.181;75;5.6;5;0;0.38;1.86889
58.99;11.5408;160;6.9;5;0;5.42;2
59.531;10.2643;25;6;5;0;0.25;1.39631
60.0393;9.1667;227;1.1;5;0;0.47;2
58.851;9.1197;85;4.1;5;0;0.76;2
59.3535;10.3825;55;7.8;5;5;4.58;NA
59.2485;9.6637;280;5.9;5;0;0.48;2
60.3718;12.0435;170;7.4;5;0;0.17;1.50355
60.2225;9.8408;210;0.8;5;0;0.13;2
59.521;10.69842;41;8;3;0;0;0.5
60.08046;11.12585;168;7.2;3;0;0.47;1.05186
59.89805;10.85183;193;7.1;3;0;0.05;0.61155
59.95374;10.66704;14;6.1;3;0;0.57;1.79079
59.21673;9.59014;41;9.9;3;5;21.17;NA
60.15622;11.1734;201;5.9;3;0;0.01;0.5
59.88163;10.80058;184;7;3;0;0.2;0.71505
59.6683;9.66365;773;2.5;3;6;0.11;0.5
59.9448;10.95184;165;7.5;3;0;0.01;0.5
60.08478;10.8649;186;6.2;3;0;0.12;0.69384
58.98924;10.00487;50;7.5;3;0;0.32;2
59.94219;10.83885;164;9.5;3;5;8.02;NA
59.11802;10.21832;33;6.9;3;0;0.35;1.64206
60.07309;9.13685;376;2.2;3;0;0.25;0.73267
59.14882;9.63886;10;8.7;3;5;11.05;NA
59.9177;10.75323;12;8.2;3;0;0.29;1.78941
59.15903;9.63245;23;4.3;3;0;1.42;0.52521
59.71834;10.82249;157;7.7;3;0;0.15;1.16978
59.94449;11.15309;235;6.6;3;0;0.57;1.13439
59.06714;10.41464;17;8.3;3;0;0.28;0.5
60.03588;12.12142;160;6.9;3;0;0.34;1.29197
59.92729;10.77117;45;8.1;3;0;0.04;0.9068
59.06117;8.72384;456;7.3;3;5;19.64;NA
59.89709;10.84984;194;7.3;3;0;0.04;0.68957
59.80177;9.58723;220;2.7;3;0;0.66;0.90108
59.94531;10.77325;108;7.7;3;0;0.34;1.57814
59.74774;10.20513;32;6;3;5;8;NA
58.89392;9.29095;87;4.2;3;0;1.37;2
59.92692;10.77081;46;7.8;3;0;0.6;1.93555
59.27029;11.05547;59;7.9;3;0;0.18;1.46526
59.59711;11.18397;150;7.5;3;0;0.02;0.5185
59.90962;10.80295;153.5;7.9;3;0;0.95;2
59.72111;10.14674;348.1;1.8;3;0;5.29;2
59.87683;10.81702;157;7.4;3;0;0.01;0.5
59.96084;10.79834;263;6.2;3;0;0;0.5
59.96171;10.8634;252;6.7;3;0;0.16;1.02639
59.92692;10.75322;22;8.9;3;0;1.58;2
59.02949;9.71388;71;5.7;3;0;0.4;0.68179
59.78811;10.90267;140;7.3;3;0;0.01;0.5
59.92338;10.50267;213;5.4;3;5;4.78;NA
59.29084;10.35534;16;6.5;3;0;0.4;0.98925
59.91855;11.08965;145;6.7;3;0;2.48;0.7165
59.4956;9.96975;71;4.5;3;0;0;0.59339
60.16018;11.1863;173.2;6.1;3;0;0.14;0.66295
59.67407;9.63259;201;1.9;3;0;2.34;2
59.85468;10.82131;134;7.2;3;0;0.49;0.96324
59.22283;10.91146;15;8.4;3;0;0.06;1.1617
59.58878;9.41788;474;3.5;3;0;0.52;1.28953
59.0503;10.00576;77;8.4;3;5;6.56;NA
59.9325;10.70423;61;6.8;3;0;0.01;0.5
59.81795;10.37524;189;3.7;3;0;0.63;2
59.93817;10.6102;130;2.4;3;5;16.1;NA
59.76834;9.99046;136;3.9;3;0;0.01;0.85379
59.07122;11.0832;11;8.6;3;0;1.01;0.79491
59.20832;10.28041;79;6.4;3;0;0.34;0.86248
59.91526;10.86047;219;7.5;3;0;1.32;2
59.89911;10.7895;135;7.2;3;0;0.4;0.91854
59.92846;10.72066;55;8.2;3;0;3.75;2
59.97156;11.24537;179;7.3;3;0;0.09;0.76501
59.92723;10.68098;49;8.4;3;5;8.03;NA
59.96498;10.65045;256;17.2;3;5;28.56;NA
59.83987;10.45985;81;5.9;3;5;6.33;NA
59.89494;10.79517;182;6.8;3;0;0.65;0.57806
59.92987;10.76184;46;9.1;3;5;4.13;NA
60.3865;9.18801;938;0;3;0;1.61;1.82816
58.94405;11.1552;18;9.4;3;4;NA;NA
60.08878;9.48696;131;2;3;0;0;0.5
59.85433;10.78733;61;7.8;3;0;0.01;0.56067
59.72778;11.06004;155;7;3;0;0.98;0.84776
59.91879;10.79915;88;7.7;3;0;0.29;1.50538
59.86633;10.83498;154;7.5;3;0;0.01;0.5
59.72961;10.76507;118;8.1;3;0;0.74;2
59.11458;10.24863;30;5.6;3;5;8.19;NA
59.74783;10.14752;8;3.8;3;0;0.01;1.25078
59.67978;9.64644;176;3;3;0;0.03;0.5
59.66287;10.37903;10;5.3;3;5;9.23;NA
59.98469;11.04766;159;7.4;3;0;0.16;0.93067
59.52515;10.28221;2;5.4;3;0;6.29;2
59.92026;10.96225;200;7;3;0;0.1;0.69957
60.10056;11.21547;180;7.1;3;0;0.22;0.79513
59.95912;11.04901;108;8.4;3;0;1.08;2
59.90355;10.7568;12;7.9;3;0;1.4;2
59.68076;11.1069;170;7.9;3;0;0.43;1.91404
58.43505;8.78028;5;6.6;3;0;0.11;0.80566
59.90513;10.5786;36;3.8;3;0;2.63;2
