sourceId;lat;lon;elev;value;prid;dqc
FMI101339:fmi;62.39758;25.67087;139;NA;12;901
FMI101352:fmi;62.15685;25.42166;123;NA;12;901
FMI101363:fmi;62.41051;25.04996;180;NA;12;901
FMI101367:fmi;61.87942;26.09478;145;NA;12;901
FMI101390:fmi;61.76522;26.39156;116;NA;12;901
FMI101398:fmi;61.6886;27.20219;99;NA;12;901
FMI101421:fmi;62.32221;27.90785;83;NA;12;901
FMI101423:fmi;61.79607;28.84608;94;NA;12;901
FMI101441:fmi;61.80186;29.31506;79;NA;12;901
FMI101446:fmi;62.05563;29.04407;95;NA;12;901
FMI101459:fmi;62.23539;30.34662;91;NA;12;901
FMI101460:fmi;62.42668;30.40736;140;NA;12;901
FMI101485:fmi;63.09871;21.63938;7;NA;12;901
FMI101486:fmi;62.93808;22.48878;26;NA;12;901
FMI101503:fmi;63.12033;23.04364;42;NA;12;901
FMI101520:fmi;62.55461;24.14239;161;NA;12;901
FMI101533:fmi;63.08898;24.26084;171;NA;12;901
FMI101536:fmi;62.51044;24.80764;227;NA;12;901
FMI101537:fmi;63.08225;25.85862;130;NA;12;901
FMI101541:fmi;62.87574;25.86171;107;NA;12;901
FMI101555:fmi;62.92178;26.4247;121;NA;12;901
FMI101569:fmi;63.31518;26.97915;189;NA;12;901
FMI101572:fmi;63.14343;27.31317;91;NA;12;901
FMI101577:fmi;63.38453;27.3745;95;NA;12;901
FMI101578:fmi;62.666;27.04383;103;NA;12;901
FMI101586:fmi;62.89256;27.63331;87;NA;12;901
FMI101599:fmi;63.27192;28.47033;111;NA;12;901
FMI101603:fmi;63.37806;28.66166;164;NA;12;901
FMI101609:fmi;63.23236;29.23397;115;NA;12;901
FMI101610:fmi;62.51678;29.81092;79;NA;12;901
FMI101616:fmi;63.10839;29.76161;165;NA;12;901
FMI101632:fmi;62.60179;29.72713;79;NA;12;901
FMI101636:fmi;63.32108;30.04578;99;NA;12;901
FMI101649:fmi;63.14166;31.04454;237;NA;12;901
FMI101651:fmi;62.76942;30.97467;156;NA;12;901
FMI101665:fmi;63.59353;23.71761;74;NA;12;901
FMI101675:fmi;63.83882;23.09715;5;NA;12;901
FMI101689:fmi;63.82133;24.16323;84;NA;12;901
FMI101691:fmi;64.06638;24.67714;75;NA;12;901
FMI101695:fmi;64.14263;25.42335;112;NA;12;901
FMI101705:fmi;63.73589;25.70573;152;NA;12;901
FMI101712:fmi;63.72868;26.36981;110;NA;12;901
FMI101717:fmi;64.35544;26.30033;89;NA;12;901
FMI101726:fmi;63.8409;27.22061;206;NA;12;901
FMI101743:fmi;63.6673;28.82927;114;NA;12;901
FMI101753:fmi;64.47667;28.61739;268;NA;12;901
FMI101756:fmi;64.11197;28.33639;161;NA;12;901
FMI101763:fmi;63.82481;29.4548;252;NA;12;901
FMI101771:fmi;64.06864;29.21975;190;NA;12;901
FMI101773:fmi;64.2976;30.17061;196;NA;12;901
FMI101776:fmi;65.01967;24.72758;6;NA;12;901
FMI101787:fmi;64.68421;25.08919;48;NA;12;901
FMI101799:fmi;64.93698;25.37299;11;NA;12;901
FMI101800:fmi;64.50144;26.42386;113;NA;12;901
FMI101809:fmi;64.92252;27.25125;130;NA;12;901
FMI101822:fmi;65.23964;28.44834;251;NA;12;901
FMI101826:fmi;64.93125;28.74672;222;NA;12;901
FMI101830:fmi;64.66594;28.02947;280;NA;12;901
FMI101851:fmi;65.84733;24.17369;8;NA;12;901
FMI101873:fmi;65.97717;26.36757;161;NA;12;901
FMI101877:fmi;65.79614;27.33961;158;NA;12;901
FMI101881:fmi;65.97886;28.17124;260;NA;12;901
FMI101882:fmi;65.73409;28.56439;247;NA;12;901
FMI101885:fmi;65.57489;28.21766;197;NA;12;901
FMI101887:fmi;66.36999;29.31193;164;NA;12;901
FMI101898:fmi;65.51958;29.52435;225;NA;12;901
FMI101908:fmi;66.52952;24.6496;93;NA;12;901
FMI101914:fmi;66.77278;23.96303;85;NA;12;901
FMI101920:fmi;66.56236;25.83814;189;NA;12;901
FMI101932:fmi;67.36663;26.62901;179;NA;12;901
FMI101933:fmi;66.57944;26.01094;106;NA;12;901
FMI101950:fmi;66.71556;27.15906;208;NA;12;901
FMI101952:fmi;67.28296;28.1786;180;NA;12;901
FMI101959:fmi;66.8166;28.68829;218;NA;12;901
FMI101966:fmi;67.16226;29.17766;213;NA;12;901
FMI101980:fmi;68.23014;24.83291;278;9.7;12;0
FMI101987:fmi;67.98721;24.24301;347;10.4;12;0
FMI101990:fmi;67.65202;24.90179;181;NA;12;901
FMI101994:fmi;68.16961;25.78316;276;11.6;12;0
FMI102000:fmi;67.82147;27.74597;240;NA;12;901
FMI102001:fmi;68.08422;27.18501;247;8.7;12;0
FMI102005:fmi;68.41506;27.41326;302;3.3;12;0
FMI102008:fmi;68.47067;28.31619;185;1.3;12;0
FMI102012:fmi;67.74858;29.61132;360;NA;12;901
FMI102016:fmi;69.03905;20.81379;482;2.6;12;0
FMI102019:fmi;68.60301;23.57595;375;3.5;12;0
FMI102026:fmi;68.90296;25.73646;285;5.3;12;0
FMI102035:fmi;69.75637;27.00678;107;5.6;12;0
FMI102036:fmi;70.08203;27.8965;22;3.5;12;0
FMI102047:fmi;69.14089;27.26567;156;2;12;0
FMI102052:fmi;68.84928;28.29911;121;0.9;12;0
FMI102055:fmi;69.5825;28.89409;106;3.2;12;0
FMI103794:fmi;60.62773;25.19342;83;NA;12;901
FMI104796:fmi;60.97465;25.6202;100;NA;12;901
FMI105427:fmi;61.13658;21.51518;15;NA;12;901
FMI106435:fmi;67.95829;23.68449;236;7.7;12;0
FMI107029:fmi;60.48595;26.59209;21;NA;12;901
FMI107081:fmi;65.99763;29.22268;266;NA;12;901
FMI107113:fmi;63.99618;28.05972;212;NA;12;901
FMI107565:fmi;67.7687;29.21102;223;NA;12;901
FMI107590:fmi;61.95922;27.26489;119;NA;12;901
FMI126736:fmi;64.21678;27.75194;160;NA;12;901
FMI150168:fmi;61.52242;28.18491;98;NA;12;901
FMI778135:fmi;67.99746;24.20955;270;4;12;0
FMI852678:fmi;60.29128;24.56782;90;NA;12;901
FMI874863:fmi;60.17797;24.78743;6;NA;12;901
METSN58960:0;62.0033;6.6502;349;0.5;4;0
METSN23500:0;61.122;9.063;521;1.9;4;999
METSN27460:0;59.2173;10.4103;5;5.8;4;0
METSN52170:0;60.8028;6.1469;450;6.2;4;999
METSN89980:0;69.0935;19.6278;230;1.3;4;999
METSN27282:0;59.2632;10.3603;30;5.9;4;0
METSN27212:0;59.4173;10.2087;83;16.6;4;999
METSN98974:0;70.227;28.9563;150;0.2;4;0
METSN26990:0;59.6193;10.215;60;9.4;4;0
METSN63820:0;62.4473;9.5827;680;4.1;4;999
METSN1400:0;59.1477;11.5583;114;3.9;4;0
METSN27272:0;59.2937;10.4275;55;5.6;4;0
METSN3720:0;59.5873;11.0962;87;7.9;4;999
METSN61410:0;62.4555;7.7703;1294;0;4;999
METSN25830:0;60.5938;7.527;1210;0.8;4;999
METSN60400:0;62.2477;7.2392;28;0;4;0
METSN26780:0;59.7655;10.0582;54;8.6;4;0
METSN84701:0;68.4372;17.4212;31;0;4;0
METSN49220:0;60.0447;6.5395;89;5.1;4;0
METSN69550:0;63.4871;11.3536;174;0;4;999
METSN68050:0;63.4428;10.4428;13;0;4;0
METSN93900:0;68.7553;23.5387;382;6.6;4;0
METSN46610:0;59.6479;6.3499;5;10.2;4;0
METSN69150:0;63.4882;10.8795;27;0;4;0
METSN61340:0;62.5643;7.672;4;0;4;999
METSN83300:0;67.923;15.1123;31;0;4;0
METSN27281:0;59.3173;10.3957;60;5.8;4;0
METSN84500:0;68.432;17.662;200;0;4;0
METSN93700:0;68.9968;23.0335;307;8.1;4;0
METSN48500:0;59.99133;6.02637;75;1.3;4;0
METSN82310:0;67.3084;14.4309;5;0;4;999
METSN46430:0;59.8315;6.733;1010;2.4;4;0
METSN38800:0;58.7938;8.2295;220;21.9;4;0
METSN62290:0;62.7413;7.2275;5;0;4;999
METSN39040:0;58.2;8.0767;12;0.4;4;999
METSN58390:0;61.838;6.6;70;0;4;0
METSN16610:0;62.1133;9.2862;973;1.1;4;0
METSN40880:0;59.5766;7.3897;841;6.6;4;0
METSN55770:0;61.1792;6.8608;45;0.4;4;999
METSN20520:0;60.295;10.5753;372;5.9;4;0
METSN36110:0;58.4613;8.7228;50;12.4;4;999
METSN18500:0;60.0513;10.6878;360;24.5;4;0
METSN31620:0;59.8397;8.1785;977;9.6;4;0
METSN49490:0;60.3185;6.6538;12;2.3;4;999
METSN26802:0;59.7328;10.0258;166;5.6;4;0
METSN31410:0;59.88;8.6663;258;2.2;4;999
METSN43090:0;58.325;6.3582;136;19.9;4;0
METSN57940:0;61.83195;5.6674;24;3.7;4;999
METSN50070:0;60.3632;6.2805;49;4.3;4;999
METSN92650:0;70.2368;22.0705;27;0;4;0
METSN69380:0;63.4115;11.7277;169;0;4;0
METSN54710:0;61.178;8.1125;956;1.4;4;0
METSN57850:0;61.8986;5.5333;78;2.4;4;0
METSN27316:0;59.371;10.2692;30;5;4;0
METSN47240:0;59.2695;5.2623;19;10.9;4;999
METSN77230:0;65.7842;13.218;72;0;4;0
METSN45870:0;59.16;6.0365;30;1.3;4;0
METSN30875:0;59.8103;8.9863;314;10;4;0
METSN82000:0;67.1658;15.4857;7;0.2;4;999
METSN71200:0;63.8128;10.998;39;0;4;0
METSN13655:0;61.5308;9.4023;928;5.6;4;999
METSN15430:0;61.7195;8.2423;700;1.8;4;0
METSN14550:0;61.9225;9.0084;823;2.4;4;0
METSN64700:0;62.722;8.7753;405;0;4;0
METSN4920:0;60.1268;11.3933;160;3.7;4;999
METSN56780:0;61.3435;5.7265;45;4.1;4;0
METSN30860:0;59.8861;9.058;514;5.7;4;999
METSN59695:0;62.16;6.2877;690;0;4;0
METSN43010:0;58.507;6.5045;65;16.7;4;0
METSN12550:0;60.7733;10.8055;128;3.5;4;999
METSN49800:0;60.4085;7.2798;735;1;4;0
METSN58780:0;61.9183;6.0392;34;2.8;4;999
METSN34130:0;58.8565;9.5745;3;9.7;4;0
METSN12290:0;60.80056;11.0948;141;0.9;4;999
METSN14711:0;61.8135;9.0133;811;2.1;4;999
METSN49910:0;60.5637;6.9325;42;0.4;4;999
METSN41480:0;58.6172;7.4128;268;27.2;4;0
METSN1650:0;59.3006;11.6599;113;5.3;4;0
METSN63530:0;62.5095;8.9773;698;0;4;0
METSN87640:0;68.8029;16.5362;45;0;4;0
METSN91770:0;69.7537;21.0957;42;0;4;0
METSN56520:0;61.232;5.4342;85;16.4;4;0
METSN27420:0;59.1205;10.398;32;3.1;4;0
METSN90450:0;69.6537;18.9368;100;2.9;4;0
METSN58070:0;61.7873;6.1835;51;0;4;0
METSN25640:0;60.532;8.1483;841;4.6;4;0
METSN88660:0;69.5212;17.9175;6;0;4;0
METSN32061:0;59.3822;9.2118;94;24.3;4;999
METSN62700:0;62.9087;7.2436;80;0;4;0
METSN80740:0;66.9035;13.646;9;0;4;0
METSN63420:0;62.6785;8.5473;6;0;4;999
METSN37500:0;59.3242;8.1517;492;6.4;4;0
METSN49245:0;59.9333;6.5887;255;5.8;4;999
METSN57810:0;61.7707;5.2983;16;13.1;4;0
METSN49080:0;60.2795;6.3857;342;0.5;4;0
METSN19945:0;59.8628;10.2177;125;10.7;4;999
METSN27400:0;59.23662;10.45604;2;4.3;4;0
METSN4460:0;60.1173;10.829;170;26.2;4;999
METSN44480:0;58.6855;5.9817;263;22.4;4;0
METSN55550:0;61.2925;7.1887;246;0.5;4;0
METSN76250:0;65.2965;12.1643;19;0.9;4;0
METSN93301:0;69.5797;23.5345;381;7.5;4;0
METSN4785:0;60.2105;11.0782;203;17.8;4;999
METSN36200:0;58.3988;8.7893;12;5.8;4;0
METSN87110:0;69.3073;16.1312;10;0.6;4;0
METSN71000:0;64.0217;11.4493;6;0.1;4;0
METSN7950:0;61.1847;11.3747;255;7;4;0
METSN47498:0;59.6625;5.9538;8;12.1;4;0
METSN68010:0;63.4465;10.3364;44;0;4;0
METSN13150:0;61.4582;10.1872;200;9.4;4;999
METSN76450:0;65.7017;11.8562;4;2.7;4;0
METSN60620:0;62.3292;7.5135;312;0;4;0
METSN96600:0;70.8;28.0995;15;8;4;0
METSN90650:0;70.0083;19.573;7;0;4;0
METSN2650:0;59.9119;11.5801;128;6.7;4;0
METSN15890:0;62.0162;7.6637;872;0.4;4;0
METSN61420:0;62.4458;7.8355;67;0;4;0
METSN28380:0;59.6247;9.6377;170;6.5;4;0
METSN46220:0;59.4128;6.4697;639;5.7;4;999
METSN3190:0;59.2852;11.1128;57;8.4;4;0
METSN44610:0;59.0705;5.4122;21;11.1;4;0
METSN17780:0;59.8095;10.6308;104;31.5;4;999
METSN19525:0;59.9383;10.515;203;33.1;4;999
METSN94870:0;70.4718;25.0767;50;0.4;4;0
METSN60:0;61.5581;12.499;564;11;4;0
METSN55300:0;61.4962;7.606;17;0;4;999
METSN68420:0;63.0556;11.5669;302;0;4;0
METSN6020:0;60.6142;12.0125;185;2.8;4;0
METSN50810:0;60.4742;5.3418;90;17.6;4;999
METSN31080:0;60.1293;8.7033;762;8.3;4;0
METSN12180:0;60.8028;11.2028;182;0.9;4;999
METSN26810:0;59.7688;9.9155;7;6.5;4;0
METSN18700:0;59.9423;10.72;94;11.8;4;0
METSN27262:0;59.2952;10.5145;3;3.8;4;999
METSN39220:0;58.2153;7.89;151;12.1;4;0
METSN1950:0;59.4829;11.6506;123;5.7;4;999
METSN90490:0;69.6767;18.9133;8;0;4;0
METSN25630:0;60.53;8.1948;772;18.1;4;999
METSN52860:0;61.0272;5.3813;38;13.8;4;999
METSN42160:0;58.109;6.5675;14;7.7;4;0
METSN73550:0;64.531;12.3837;95;0.8;4;0
METSN73250:0;64.2432;13.765;370;2.4;4;0
METSN19458:0;59.9248;10.5878;71;20.6;4;999
METSN7660:0;61.696;11.2042;260;3.9;4;0
METSN51530:0;60.6252;6.4265;54;3.9;4;0
METSN9310:0;62.2207;9.5423;1012;12.4;4;999
METSN18950:0;59.9847;10.6693;514;23.6;4;0
METSN52475:0;60.5313;4.8933;30;18.1;4;0
METSN60800:0;62.4775;6.8167;5;0;4;0
METSN91180:0;69.8915;20.1387;45;0.4;4;0
METSN26975:0;59.591;10.4053;3;14.4;4;999
METSN4735:0;60.1705;11.1105;204;12.1;4;999
METSN3810:0;59.5872;11.166;141;11.3;4;0
METSN93140:0;69.9775;23.3582;3;0;4;0
METSN39750:0;58.6863;7.803;207;18.4;4;0
METSN12320:0;60.818;11.0697;221;1;4;0
METSN96310:0;71.033;27.8298;13;2.6;4;0
METSN13060:0;61.2732;10.1732;552;6.7;4;0
METSN10380:0;62.5773;11.3518;625;0;4;0
METSN27403:0;59.2084;10.45442;1;4;4;0
METSN76790:0;66.0197;12.6022;4;0.3;4;0
METSN44730:0;58.8662;5.7592;19;10;4;0
METSN27770:0;59.2752;10.2022;90;11;4;999
METSN33890:0;59.7662;7.3653;821;5.5;4;0
METSN91380:0;69.3875;20.2823;20;1.3;4;999
METSN31660:0;60.018;7.913;954;0.1;4;999
METSN82720:0;67.3335;15.8282;665;6.7;4;999
METSN91522:0;69.5417;20.5507;14;0.2;4;999
METSN5350:0;60.3883;11.558;147;5.8;4;0
METSN27433:0;59.1745;10.3655;1;3.9;4;0
METSN95590:0;70.3133;25.5703;23;1.8;4;0
METSN53101:0;61.1724;6.6452;49;0.1;4;0
METSN50450:0;60.2728;5.3305;54;23.1;4;999
METSN61630:0;62.2583;8.2;579;0;4;999
METSN88100:0;68.6457;18.2442;230;0.7;4;0
METSN74350:0;64.7422;12.846;140;0.4;4;0
METSN85890:0;67.5267;12.1038;4;NA;4;901
METSN47232:0;59.2643;5.1927;18;15.1;4;0
METSN66850:0;62.5962;10.271;549;0;4;0
METSN77425:0;65.1662;13.3667;319;0;4;0
METSN12980:0;61.1478;10.4548;388;17.4;4;999
METSN36560:0;58.6582;8.63;142;14;4;0
METSN23550:0;61.2508;8.9228;965;8.3;4;0
METSN44560:0;58.8843;5.637;7;6.7;4;0
METSN27450:0;59.23;10.3483;26;6.1;4;0
METSN15730:0;61.8957;7.8955;664;1.7;4;0
METSN88200:0;69.2349;17.9014;9;0;4;0
METSN97251:0;69.4635;25.5023;131;14.7;4;0
METSN53480:0;60.7192;7.2085;960;0.4;4;0
METSN97350:0;69.3695;24.4312;286;8.6;4;0
METSN84210:0;68.1905;17.7905;740;1.7;4;0
METSN51470:0;60.6455;6.222;328;3.7;4;0
METSN22840:0;60.8346;9.4905;628;4.7;4;0
METSN44300:0;58.7605;5.6508;87;13.7;4;0
METSN79220:0;66.2348;13.904;37;0;4;0
METSN10600:0;62.6737;11.4534;685;0;4;0
METSN76530:0;65.8295;12.4255;21;0.4;4;0
METSN57480:0;61.5349;6.0586;237;1.2;4;0
METSN40420:0;59.3505;7.3438;594;7.7;4;0
METSN16040:0;61.7782;9.5413;309;2.6;4;999
METSN8720:0;61.8902;10.1398;749;2.6;4;0
METSN8450:0;61.791;10.501;533;2.7;4;0
METSN55430:0;61.6595;7.2762;305;3.9;4;999
METSN41770:0;57.9815;7.048;16;2.3;4;0
METSN94280:0;70.6807;23.6772;81;0.2;4;0
METSN24600:0;60.137;9.5958;367;6.9;4;0
METSN30810:0;59.7238;9.0245;191;4.4;4;0
METSN35210:0;58.87;9.0263;32;8.2;4;0
METSN13420:0;61.6513;10.1082;930;7.9;4;0
METSN90100:0;69.414;18.6773;124;0.2;4;0
METSN24890:0;60.567;9.1323;166;2.3;4;0
METSN96220:0;70.5815;26.9938;18;0.4;4;0
METSN19670:0;59.86635;10.4966;30;38.6;4;999
METSN53680:0;60.8625;7.1603;860;0.8;4;999
METSN46930:0;59.4927;5.7208;20;13.1;4;0
METSN44080:0;58.6592;5.5553;24;10.7;4;0
METSN420:0;61.6848;11.9963;481;10.1;4;0
METSN1070:0;59.0418;11.0322;20;6.5;4;999
METSN47820:0;59.8594;6.2786;178;1.2;4;999
METSN77850:0;65.3675;14.2457;498;0.9;4;0
METSN39150:0;58.1502;8.052;12;4.4;4;999
METSN25540:0;60.6792;8.0058;969;72.7;4;999
METSN94680:0;71.0105;25.9782;14;7.6;4;0
METSN37230:0;59.0257;8.5187;252;14.3;4;0
METSN27318:0;59.363;10.3672;46;7.5;4;0
METSN19710:0;59.8558;10.4358;163;17.5;4;0
METSN25320:0;60.6391;8.5609;720;0.5;4;0
METSN34580:0;59.0767;9.0687;65;8.9;4;0
METSN30330:0;59.2268;9.5772;41;9.1;4;999
METSN41175:0;58.2772;7.4388;280;19.2;4;0
METSN98640:0;70.2467;30.368;72;0;4;0
METSN85560:0;68.155;13.615;26;3.6;4;3
METSN27600:0;59.132;10.2147;6;8.9;4;999
METSN60500:0;62.2305;7.4218;11;0;4;0
METSN68125:0;63.4223;10.3498;156;0;4;0
METSN81650:0;66.9368;15.3155;39;0.3;4;0
METSN62295:0;62.756;7.2088;258;0.3;4;0
METSN32350:0;59.6478;8.3768;567;12.3;4;999
METSN49360:0;60.1173;6.5742;147;5.9;4;999
METSN26840:0;59.7658;10.0123;139;4.6;4;999
METSN100:0;61.1349;12.5039;333;6.8;4;0
METSN26630:0;59.7323;9.8728;13;6.4;4;999
METSN70820:0;64.1163;11.729;50;0.7;4;0
METSN18450:0;59.9719;10.7894;173;34.8;4;999
METSN42940:0;58.923;6.9097;560;16.2;4;0
METSN98976:0;70.306;29.1003;268;0.6;4;0
METSN40250:0;59.1972;7.5273;308;11.6;4;0
METSN19530:0;59.9967;10.4601;277;17.2;4;999
METSN50310:0;60.3887;5.964;455;8.2;4;0
METSN11500:0;60.7002;10.8695;264;1.1;4;999
METSN55720:0;61.2168;7.0183;713;0.1;4;0
METSN26934:0;59.7112;10.2688;5;43.9;4;999
METSN12648:0;61.1145;10.4675;210;32.6;4;999
METSN27261:0;59.2625;10.4985;9;0.6;4;999
METSN64870:0;63.0493;9.0878;410;0;4;0
METSN27010:0;59.713;10.146;193;7;4;0
METSN96850:0;70.2122;28.159;32;0.3;4;0
METSN83710:0;68.0483;16.0832;6;0;4;0
METSN70850:0;64.1587;12.4692;195;0;4;0
METSN59570:0;62.3975;6.012;27;0;4;999
METSN50865:0;60.3828;5.542;345;34.7;4;999
METSN45350:0;59.0552;6.6467;5;7.7;4;0
METSN76470:0;65.6413;12.3754;8;1.1;4;0
METSN54600:0;61.10988;8.03686;806;0.9;4;999
METSN91150:0;69.5886;20.0923;60;0;4;999
METSN45530:0;59.0512;6.1212;300;2.9;4;0
METSN57660:0;61.6407;5.8157;176;5.7;4;0
METSN63705:0;62.6027;9.666;604;0;4;999
METSN32220:0;59.5022;8.9837;1102;0;4;999
METSN91551:0;69.4802;20.8693;20;0.9;4;999
METSN50500:0;60.2892;5.2265;48;16.5;4;0
METSN66150:0;63.3153;9.8495;4;1;4;1
METSN41090:0;58.0247;7.4517;10;6.4;4;0
METSN68120:0;63.3628;10.3597;135;0;4;999
METSN7920:0;62.1083;11.0355;525;3.1;4;0
METSN55820:0;61.4233;6.7642;3;2.5;4;0
METSN67780:0;62.8523;11.2058;397;0.7;4;0
METSN86740:0;68.6072;14.4347;8;0;4;999
METSN89940:0;68.7817;19.7017;204;13.9;4;0
METSN12960:0;61.1638;10.7088;930;0.8;4;0
METSN41825:0;58.134;7.0452;6;10.1;4;999
METSN50503:0;60.35;5.3967;221;23.2;4;0
METSN30000:0;59.0572;10.0667;28;6.9;4;999
METSN55928:0;61.2028;6.5285;15;7.8;4;999
METSN56400:0;61.007;4.6693;3;15.8;4;0
METSN81775:0;66.7435;15.4628;520;0.9;4;999
METSN50539:0;60.3837;5.332;46;18.5;4;0
METSN68262:0;63.3064;10.4657;143;0;4;999
METSN89350:0;69.0577;18.5437;76;0;4;0
METSN700:0;61.887;12.0462;672;0.9;4;0
METSN53070:0;61.0728;6.5813;65;0.1;4;999
METSN25100:0;60.8703;8.5285;648;7;4;0
METSN67280:0;62.9535;10.1788;299;0;4;0
METSN23420:0;60.9785;9.224;358;3.7;4;0
METSN26500:0;59.9202;9.9728;64;8;4;999
METSN33950:0;59.8118;7.2143;990;5.3;4;0
METSN56420:0;61.2928;5.0443;7;21.8;4;0
METSN10800:0;62.6793;11.8153;747;2.7;4;0
METSN17870:0;59.6703;10.8107;120;28.8;4;999
METSN52930:0;60.9585;5.425;240;20;4;999
METSN92350:0;69.8362;21.8958;20;0;4;0
METSN53130:0;61.0688;6.9345;32;0.1;4;0
METSN16271:0;61.8883;9.4798;940;1.8;4;0
METSN17380:0;59.398;10.7543;35;1;4;3
METSN9580:0;62.2695;10.732;482;1.7;4;0
METSN71550:0;63.7045;9.6105;10;0;4;0
METSN16560:0;62.07165;9.1147;638;0.2;4;999
METSN44640:0;58.9563;5.7278;72;9.5;4;999
METSN28922:0;60.0435;9.1468;275;5.5;4;0
METSN60945:0;62.4703;6.2108;15;0;4;0
METSN46300:0;59.5887;6.809;333;1.6;4;999
METSN80340:0;66.4997;12.0917;15;NA;4;901
METSN12680:0;61.0917;10.4762;240;7;4;0
METSN96931:0;70.0733;28.0012;18;1.7;4;0
METSN91725:0;70.0332;20.9625;48;0;4;0
METSN65451:0;63.5187;9.1125;13;0;4;0
METSN82840:0;67.5258;15.4953;27;0;4;0
METSN82650:0;67.3605;15.5892;3;0;4;0
METSN27120:0;59.4283;10.3847;70;17.2;4;0
METSN21680:0;60.9345;10.0358;542;5.2;4;0
METSN50570:0;60.404;5.3358;175;18.4;4;0
METSN44760:0;58.9055;5.9672;2;20.2;4;0
METSN66620:0;62.864;9.8354;223;0;4;999
METSN9160:0;62.1282;9.9947;694;3.4;4;0
METSN68860:0;63.4107;10.4538;127;0;4;999
METSN31500:0;59.8247;8.3477;875;4.9;4;999
METSN85080:0;68.5172;15.8768;6;0;4;0
METSN38380:0;58.5234;8.0392;259;20.3;4;0
METSN11710:0;60.59505;10.6408;406;5.1;4;0
METSN44800:0;58.8185;5.9202;230;16;4;999
METSN79764:0;66.4993;14.954;251;4.1;4;0
METSN15660:0;61.9013;8.1706;432;0;4;999
METSN54110:0;61.1033;7.5025;2;0;4;999
METSN810:0;62.2776;11.732;687;8.8;4;0
METSN42650:0;58.28415;6.6498;5;17.5;4;0
METSN51440:0;60.647;6.1105;17;4.5;4;999
METSN19925:0;59.8207;10.3292;197;11.3;4;0
METSN91530:0;69.4818;20.5787;1237;2.3;4;0
METSN99460:0;69.4552;30.041;27;3.3;4;0
METSN47300:0;59.3065;4.8723;55;NA;4;901
METSN19718:0;59.8303;10.439;115;14.4;4;0
METSN34900:0;59.2647;8.7687;464;6.9;4;0
METSN85470:0;68.2417;14.4794;29;0;4;0
METSN51800:0;60.7022;6.9373;695;2;4;0
METSN77280:0;65.6215;13.2892;50;0;4;0
METSN32890:0;59.497;8.1992;560;9.5;4;0
METSN80705:0;66.8275;13.948;520;0.8;4;0
METSN20301:0;60.1665;10.2478;140;2.4;4;0
METSN27270:0;59.2782;10.4312;3;6.1;4;0
METSN6440:0;60.6925;12.369;276;1.5;4;0
