sourceId;lat;lon;elev;value;prid;dqc
FMI100908:fmi;59.77909;21.37479;6;NA;12;901
FMI100917:fmi;60.17824;19.98686;11;NA;12;901
FMI100924:fmi;60.11163;21.69828;3;NA;12;901
FMI100932:fmi;59.77363;22.94868;6;NA;12;901
FMI100934:fmi;60.3869;22.55183;6;NA;12;901
FMI100949:fmi;60.45439;22.1787;8;NA;12;901
FMI100951:fmi;60.17123;22.75768;12;NA;12;901
FMI100953:fmi;59.84383;23.24859;3;NA;12;901
FMI100955:fmi;60.37392;23.11292;2;NA;12;901
FMI100967:fmi;60.46415;23.64976;117;NA;12;901
FMI100968:fmi;60.3267;24.95675;51;NA;12;901
FMI100971:fmi;60.17523;24.94459;3;NA;12;901
FMI100974:fmi;60.24446;24.04951;36;NA;12;901
FMI101004:fmi;60.20307;24.96131;24;NA;12;901
FMI101028:fmi;60.39172;25.6073;22;NA;12;901
FMI101030:fmi;60.37538;26.95893;11;NA;12;901
FMI101059:fmi;60.7222;21.02681;5;NA;12;901
FMI101064:fmi;61.47893;21.7832;9;NA;12;901
FMI101068:fmi;61.26002;22.22752;38;NA;12;901
FMI101103:fmi;61.25294;22.34613;38;NA;12;901
FMI101104:fmi;60.81397;23.49825;104;NA;12;901
FMI101116:fmi;61.39648;23.33637;99;NA;12;901
FMI101124:fmi;61.46561;23.74678;85;NA;12;901
FMI101128:fmi;60.64668;23.80559;142;NA;12;901
FMI101130:fmi;60.59589;24.80297;86;NA;12;901
FMI101143:fmi;61.00665;23.92006;128;NA;12;901
FMI101149:fmi;60.50872;24.65375;110;NA;12;901
FMI101150:fmi;60.9992;24.49163;87;NA;12;901
FMI101151:fmi;61.11454;24.32449;87;NA;12;901
FMI101154:fmi;61.05408;25.03844;125;NA;12;901
FMI101194:fmi;60.6965;26.81106;31;NA;12;901
FMI101196:fmi;61.20008;26.04967;93;NA;12;901
FMI101211:fmi;61.25137;26.77904;90;NA;12;901
FMI101231:fmi;60.5272;27.67274;5;NA;12;901
FMI101247:fmi;61.05754;28.20873;103;NA;12;901
FMI101248:fmi;61.36751;28.67649;97;NA;12;901
FMI101254:fmi;61.44467;29.46108;74;NA;12;901
FMI101256:fmi;62.33382;21.19081;5;NA;12;901
FMI101258:fmi;62.13028;21.69872;58;NA;12;901
FMI101262:fmi;62.49206;21.75847;60;NA;12;901
FMI101272:fmi;62.18329;22.79983;162;NA;12;901
FMI101289:fmi;62.41345;22.18372;93;NA;12;901
FMI101291:fmi;61.83864;22.46368;123;NA;12;901
FMI101305:fmi;62.44881;23.55334;124;NA;12;901
FMI101317:fmi;61.84591;24.28696;154;NA;12;901
FMI101338:fmi;61.85959;24.81483;144;NA;12;901
