sourceId;lon;lat;elev;value;prid;dqc;sct;rep
SN76530:0;12.4255;65.8295;21;10.2;1;0;0.01;0.25
SN76750:0;12.4715;65.9607;17;10.2;1;0;0.04;0.25
SN76925:0;7.77915;64.352;55;NA;1;1;NA;NA
SN76928:0;7.3156;65.32285;68;NA;1;1;NA;NA
SN76930:0;8.085;66.0256;33;NA;1;1;NA;NA
SN77230:0;13.218;65.7842;72;10;1;0;1.7;0.68436
SN77280:0;13.2892;65.6215;50;9.9;1;0;0.58;0.35615
SN77425:0;13.3667;65.1662;319;8.1;1;0;1.21;0.4176
SN78360:0;13.5867;66.1317;126;8.9;1;0;4.21;1
SN78800:0;14.1942;65.8255;406;6.9;1;0;0.04;0.25
SN79220:0;13.904;66.2348;5;9.3;1;0;0.49;0.49721
SN7950:0;11.3747;61.1847;255;13.2;1;0;2.65;0.94134
SN79600:0;14.3015;66.3643;70;9.3;1;0;0.11;0.25
SN79700:0;14.53;66.3962;110;9.1;1;0;0.03;0.25
SN79764:0;14.954;66.4993;251;8.3;1;0;0.04;0.25
SN80102:0;12.6108;66.3708;10;10.5;1;0;0.94;0.90503
SN80610:0;12.486;66.7628;17;9.9;1;0;1.62;0.66201
SN80740:0;13.646;66.9035;9;10.5;1;0;2.71;1
SN8140:0;11.0803;61.4255;257;12;1;0;0;0.25
SN81650:0;15.3155;66.9368;39;8.8;1;0;0.19;0.36453
SN82000:0;15.4857;67.1658;7;8.7;1;0;0.39;0.59218
SN82290:0;14.3637;67.267;11;9.2;1;0;0.01;0.25
SN82410:0;13.8958;67.4048;24;9.4;1;0;0.09;0.25
SN83710:0;16.0838;68.0472;19;8.4;1;0;0;0.25
SN84210:0;17.7905;68.1905;740;4.7;1;0;0;0.25
SN84500:0;17.662;68.432;200;7.7;1;0;0.17;0.51676
SN84970:0;16.6833;68.4912;26;8.5;1;0;0;0.25
SN85040:0;15.943;68.368;8;8.5;1;0;0.7;0.42458
