souid;lat;lon;value;elev;prid;dqc;sct;rep
3229;58.96349;5.73943;0.1;0;2;1;NA;NA
3236;59.7981;5.71314;0.1;0;2;1;NA;NA
3241;59.33913;6.2252;0;0;2;1;NA;NA
3252;68.09594;16.37547;0;0;2;1;NA;NA
3253;58.93769;9.59435;0.3;0;2;0;0.01;NA
3254;59.88109;10.50687;0.2;0;2;0;0.3;NA
3256;60.38398;5.29741;0;0;2;1;NA;NA
3257;61.18565;10.35031;0;0;2;1;NA;NA
3262;59.25611;10.36519;0.3;0;2;0;0;NA
3264;59.65095;10.83191;0.1;0;2;0;0.38;NA
3266;59.27717;11.06456;0;0;2;5;4.68;NA
3268;62.48227;6.78776;0;0;2;1;NA;NA
3282;59.9167;10.6167;0.1;0;2;0;0.15;NA
3285;60.16052;11.18605;0.2;0;2;0;0.1;NA
3292;58.90818;5.66809;0;0;2;1;NA;NA
3294;58.24677;6.83877;0;0;2;1;NA;NA
3310;59.76002;9.89643;0.5;0;2;0;0.02;NA
3313;59.15821;8.45724;0.7;0;2;1;NA;NA
3315;58.84334;5.77006;0;0;2;1;NA;NA
3321;59.12045;5.6114;0.1;0;2;1;NA;NA
3329;58.85407;5.75715;0;0;2;1;NA;NA
3330;61.27589;10.01118;0;0;2;1;NA;NA
3332;59.90625;11.10096;0;0;2;0;0.07;NA
3334;59.73561;10.76502;0.2;0;2;0;1.36;NA
3338;62.20719;6.0859;0;0;2;1;NA;NA
3342;60.38564;5.32861;0;0;2;1;NA;NA
3346;62.4617;6.30031;0;0;2;1;NA;NA
3350;58.07343;7.0064;0;0;2;1;NA;NA
3353;59.4321;5.6137;0;0;2;1;NA;NA
3354;58.91036;11.52201;0.2;0;2;7;3.55;NA
3358;62.97017;7.15729;0;0;2;1;NA;NA
3361;59.23386;10.43488;0.2;0;2;0;0.01;NA
3365;58.88639;5.65824;0;0;2;1;NA;NA
3369;59.09929;10.30591;0.1;0;2;0;0.02;NA
3370;60.37613;5.11179;0;0;2;1;NA;NA
3373;60.34217;10.45694;0.7;0;2;0;1.01;NA
3402;59.26412;5.20904;0.1;0;2;1;NA;NA
3405;60.34266;5.38089;0;0;2;1;NA;NA
3413;59.11461;10.23456;0.1;0;2;0;0.19;NA
3415;59.92714;10.7278;0.2;0;2;0;0.46;NA
3417;59.79127;9.91042;0.2;0;2;0;1.02;NA
3421;66.35311;14.41909;0;0;2;1;NA;NA
3423;60.38714;5.45568;0;0;2;1;NA;NA
3426;60.74445;5.1597;0;0;2;1;NA;NA
3433;58.12911;8.0745;0;0;2;1;NA;NA
3437;60.04851;5.22047;0.1;0;2;1;NA;NA
3452;58.12699;7.05516;0;0;2;1;NA;NA
3456;59.42434;11.0086;0.3;0;2;0;0.37;NA
3459;61.25738;7.13399;0;0;2;1;NA;NA
3465;60.18918;10.19632;0.2;0;2;0;2.6;NA
3466;59.31122;11.15584;0.1;0;2;0;0.41;NA
3468;60.37501;5.33796;0;0;2;1;NA;NA
3472;59.01192;11.01613;0.1;0;2;0;0.93;NA
3476;58.86601;5.79563;0.1;0;2;1;NA;NA
3478;59.12399;8.51301;0.5;0;2;1;NA;NA
3486;62.46559;6.65395;0;0;2;1;NA;NA
3508;58.94635;5.68288;0;0;2;1;NA;NA
3514;58.98304;5.74752;0.1;0;2;1;NA;NA
3521;63.17665;8.3149;0;0;2;1;NA;NA
3522;59.66976;9.66215;1.1;0;2;0;1.39;NA
3523;59.14631;10.18357;0.2;0;2;0;0.01;NA
3526;59.68014;11.06414;0.2;0;2;0;0.91;NA
