souid;lat;lon;value;elev;prid;dqc;sct;rep
975;59.58192;11.26277;0.2;0;2;0;0.29;NA
982;58.95611;5.69157;0;0;2;1;NA;NA
986;58.92777;5.85225;0;0;2;1;NA;NA
989;58.82255;5.5816;0;0;2;1;NA;NA
993;58.74784;5.64029;0;0;2;1;NA;NA
999;59.25487;11.095;0;0;2;5;4.96;NA
1003;60.39796;5.30811;0;0;2;1;NA;NA
1005;58.16031;7.99461;0;0;2;1;NA;NA
1032;61.93832;5.11647;0;0;2;1;NA;NA
1040;62.45612;6.11452;0;0;2;1;NA;NA
1050;60.2801;5.67179;0;0;2;1;NA;NA
1051;60.39383;5.33382;0;0;2;1;NA;NA
1066;62.18308;6.07998;0;0;2;1;NA;NA
1073;65.23362;12.09299;0;0;2;1;NA;NA
1074;63.99203;12.08618;0;0;2;1;NA;NA
1105;59.905;10.7487;0;0;2;0;3.89;NA
1113;58.93627;5.73053;0;0;2;1;NA;NA
1115;59.40442;9.07098;0.2;0;2;7;3.39;NA
1126;59.96785;10.76845;0.1;0;2;0;0.23;NA
1127;58.98206;5.61426;0;0;2;1;NA;NA
1129;58.9475;6.94096;0.2;0;2;1;NA;NA
1143;60.21644;11.52659;0.2;0;2;0;0.02;NA
1154;59.35445;5.32907;0;0;2;1;NA;NA
1163;60.34553;6.17577;0;0;2;1;NA;NA
1169;59.91319;10.78059;0;0;2;0;3.61;NA
1174;62.48188;6.79785;0;0;2;1;NA;NA
1187;59.42919;10.67252;0.2;0;2;0;0.01;NA
1198;62.10219;5.55269;0;0;2;1;NA;NA
1227;59.73077;10.75756;0.1;0;2;0;0.04;NA
1242;59.35911;5.32441;0;0;2;1;NA;NA
1262;63.28197;9.03997;0;0;2;1;NA;NA
1263;59.40906;5.30231;0;0;2;1;NA;NA
1274;58.84912;5.72476;0;0;2;1;NA;NA
1282;59.65887;10.71682;0;0;2;5;4.96;NA
1287;62.8211;6.91251;0;0;2;1;NA;NA
1290;59.83196;10.78148;0.1;0;2;0;0.66;NA
1297;59.76429;9.92803;0.3;0;2;0;0.16;NA
1300;61.7333;6.50691;0;0;2;1;NA;NA
1306;59.26409;11.14445;0.1;0;2;0;0.04;NA
1307;59.49212;10.84908;0.4;0;2;0;0.66;NA
1322;61.22379;11.86072;0.2;0;2;1;NA;NA
1323;63.47701;10.91822;0;0;2;1;NA;NA
1325;61.24707;7.13679;0;0;2;1;NA;NA
1329;58.5181;8.91038;0.1;0;2;1;NA;NA
1330;60.06294;10.85687;0.3;0;2;0;0.1;NA
1339;59.14146;8.64763;0.9;0;2;1;NA;NA
1342;59.88354;10.81251;0.1;0;2;0;0.6;NA
1350;62.61241;6.43449;0;0;2;1;NA;NA
1358;58.7842;5.61891;0;0;2;1;NA;NA
1359;58.04588;7.25628;0;0;2;1;NA;NA
1366;59.91647;10.57954;0.1;0;2;0;0.24;NA
1373;59.17322;10.21136;0.3;0;2;0;0.1;NA
1377;61.30873;12.25498;0;0;2;1;NA;NA
1387;58.60708;7.41813;0.1;0;2;1;NA;NA
1389;59.49276;10.65387;0;0;2;8;NA;NA
1395;58.59616;9.07255;0;0;2;1;NA;NA
1396;62.78589;7.52999;0;0;2;1;NA;NA
1398;67.28036;14.40492;0;0;2;1;NA;NA
1404;59.91306;10.76471;0.1;0;2;0;0.05;NA
1405;58.96388;5.88953;0;0;2;1;NA;NA
1438;59.94187;10.76669;0.1;0;2;0;0.02;NA
1450;69.62769;18.03479;0;0;2;1;NA;NA
1456;59.40256;5.29972;0;0;2;1;NA;NA
1461;67.26387;15.36641;0;0;2;1;NA;NA
1482;61.09857;10.51079;0;0;2;1;NA;NA
1495;59.30272;10.50202;0.2;0;2;0;0.02;NA
1502;59.94525;10.80553;0.2;0;2;4;NA;NA
1508;60.83261;10.09888;0.1;0;2;1;NA;NA
1511;59.38981;10.68894;0.1;0;2;0;0.52;NA
1518;59.92228;11.06737;0;0;2;0;0.28;NA
1524;59.67484;10.24977;0.3;0;2;0;0.03;NA
1526;68.37723;17.03366;0;0;2;1;NA;NA
1527;59.12818;9.64427;0;0;2;5;11.55;NA
1542;59.21768;9.58086;0.2;0;2;0;0.99;NA
1543;63.35289;10.3792;0;0;2;1;NA;NA
1546;63.71974;11.2994;0;0;2;1;NA;NA
1550;58.96431;5.74223;0;0;2;1;NA;NA
1556;62.80781;8.72837;0;0;2;1;NA;NA
1560;59.94948;11.02041;0;0;2;0;0.81;NA
1566;60.33091;5.0602;0;0;2;1;NA;NA
1567;60.76563;10.60213;0.3;0;2;1;NA;NA
1583;63.0668;7.99782;0;0;2;1;NA;NA
