lat;lon;elev;value;prid;dqc;sct;rep
60.1357;9.4388;143;4.2;2;0;1.23;NA
59.4175;9.0287;105;3;2;8;NA;NA
59.1505;10.2025;72;4.2;2;0;0.46;NA
59.8387;9.8948;18;3.8;2;0;0.14;NA
59.8909;10.608;5;1.2;2;0;0.11;NA
59.6703;10.8107;120;0.2;2;0;0.21;NA
59.731;10.2142;14;4;2;0;2.56;NA
59.8562;10.065;360;6.3;2;5;7.21;NA
59.7445;10.2312;4;3.9;2;0;2.6;NA
59.7327;10.1973;25;3.7;2;0;0.86;NA
59.7908;10.2598;39;3.4;2;0;0.05;NA
59.9398;10.7727;110;2.4;2;0;0.13;NA
59.4283;10.3847;70;2.1;2;0;0.53;NA
59.8655;8.6978;1008;6.5;2;0;1.5;NA
59.9463;10.7903;130;2.8;2;0;1.22;NA
59.914;10.9425;227;1;2;0;0.76;NA
59.8892;10.5243;22;1;2;0;0.78;NA
59.9127;10.7461;28;0;3;13;NA;NA
59.13371;10.22774;26;3.8;3;0;0.09;NA
59.78375;10.44749;143;2;3;0;1.02;NA
59.73452;10.13154;303;1.3;3;4;NA;NA
58.50207;8.86609;22;1.3;3;0;0.02;NA
59.66001;12.62598;75;2;3;0;0.44;NA
59.60768;11.4392;190;0.6;3;8;NA;NA
59.74396;10.76945;67;0.5;3;0;0;NA
59.34748;10.45758;41;0;3;13;NA;NA
59.92378;10.61917;68;1.3;3;0;0.49;NA
60.0466;9.63265;123;5;3;0;2.67;NA
59.1837;9.60199;28;3.6;3;0;0.06;NA
59.77262;10.80049;120;1;3;12;0.77;NA
59.65735;9.63309;207;6.1;3;0;0.41;NA
59.03039;10.08932;19;0;3;13;NA;NA
59.13732;11.36195;79;1.6;3;0;0.08;NA
58.89701;11.92746;152;4.3;3;0;1.98;NA
60.14068;11.2529;184;1;3;8;NA;NA
59.75935;10.15904;128;0;3;13;NA;NA
59.73846;10.19299;9;3.4;3;0;0.31;NA
59.8874;8.68743;334;2.2;3;0;2.77;NA
59.0508;10.03488;37;5.4;3;0;0.87;NA
59.88412;9.92713;92;5.1;3;0;4.29;NA
58.36903;8.64429;62;1;3;12;0.06;NA
59.91647;10.57954;69;1;3;0;1.39;NA
59.89816;10.83255;148;1.5;3;0;0.47;NA
59.66292;10.37905;28;1.2;3;0;0.74;NA
59.01192;11.01613;3;0.6;3;12;1.29;NA
59.69882;9.79056;102;4.9;3;0;0;NA
59.73059;11.06246;158;0.3;3;8;NA;NA
60.04343;9.55364;166;4.4;3;0;0.63;NA
59.42919;10.67252;33;0.8;3;8;NA;NA
59.23213;10.93545;36;0;3;13;NA;NA
60.0463;11.40005;146;1.1;3;0;0.02;NA
59.07876;9.68803;30;4.2;3;0;0.16;NA
59.757;10.03146;21;2.3;3;0;5.33;NA
59.75934;10.82215;92;0.4;3;13;NA;NA
59.91613;10.71083;19;1;3;4;NA;NA
59.67982;9.6465;180;6;3;0;0.11;NA
59.8935;9.91611;55;4;3;0;0.33;NA
59.58825;9.779;95;0;3;13;NA;NA
59.32834;10.68303;14;0.9;3;12;0.36;NA
59.43002;11.00097;66;0;3;13;NA;NA
59.93732;10.68427;93;2.9;3;0;2.15;NA
59.4934;9.97009;79;2.7;3;0;3.91;NA
59.7344;10.31236;113;2.5;3;0;0.04;NA
59.93819;10.59397;133;1.6;3;0;0;NA
59.94592;11.04437;192;1;3;12;0.02;NA
60.1338;10.28689;119;2.6;3;0;0.05;NA
58.62834;11.83074;132;0.2;3;0;0.45;NA
59.93169;10.76586;67;1.3;3;4;NA;NA
58.38364;8.69007;20;0;3;8;NA;NA
59.96813;10.6488;226;2.4;3;0;0.2;NA
60.18732;10.20028;179;2.1;3;0;0.05;NA
59.89487;10.85257;189;1.4;3;12;0.56;NA
58.41598;8.71483;20;1;3;0;0;NA
59.24838;10.35468;47;3.8;3;0;2.38;NA
59.048;9.66352;32;3.4;3;0;0.02;NA
59.4173;11.35973;120;1.2;3;8;NA;NA
60.26817;10.4752;340;2.1;3;0;0.16;NA
60.06383;11.08198;134;0.7;3;8;NA;NA
59.55242;10.28108;17;1.4;3;0;0.34;NA
60.01359;11.03569;180;1.2;3;8;NA;NA
59.30362;11.02003;64;1;3;0;0.58;NA
59.18915;10.21263;107;0;3;13;NA;NA
59.21017;9.58893;36;2.8;3;0;0.11;NA
59.92284;10.70915;45;2.2;3;0;0.29;NA
59.94239;10.69622;89;3.5;3;0;5.38;NA
59.94187;10.76669;107;1.5;3;4;NA;NA
59.94418;10.7746;107;0.3;3;13;NA;NA
59.92297;10.6612;17;0;3;13;NA;NA
59.88354;10.81251;133;1.1;3;12;2.69;NA
59.95196;11.01279;157;1.3;3;0;0.65;NA
59.91877;10.8122;104;0;3;13;NA;NA
59.09929;10.30591;17;2.6;3;0;0.11;NA
59.87572;10.49138;52;12.9;3;4;NA;NA
59.60777;10.75332;79;0.1;3;0;2.78;NA
58.93769;9.59435;28;3.8;3;0;0.65;NA
59.92616;9.9821;126;4.1;3;0;0.05;NA
59.17717;11.66956;133;1.3;3;8;NA;NA
59.88109;10.50687;23;1.5;3;0;0.06;NA
59.75988;10.22885;101;0;3;13;NA;NA
60.15157;11.15342;190;1;3;8;NA;NA
59.93098;10.49051;165;1.3;3;0;0.2;NA
59.25141;10.42132;10;0;3;13;NA;NA
59.88678;11.56526;134;0.8;3;0;0.01;NA
59.94351;10.84726;164;1.3;3;8;NA;NA
60.12732;8.69948;790;4.9;3;0;2.36;NA
